"denominator","year","countries","malaria_deaths","lo","hi","malaria_deaths_1_59m","lo_1_59m","hi_1_59m","malaria_neonatal","malaria_months_1_11","malaria_years_1_4","allcause_under5","model_ihme_matched","ihme_matched_countries","ihme_matched_n"
"IHME",2011,41,669383.201068134,595831.710347735,740820.950940092,618570.178650539,558574.861157421,674369.115435113,50813.0224175946,158939.687946157,459630.490704382,3123054.69707841,669383.201068133,466206.441385972,41
"IHME",2012,41,656030.633530378,582278.777274442,726348.69815969,605457.35507155,545011.871438347,660081.771158811,50573.2784588279,153538.849060578,451918.506010972,3031850.33105906,656030.633530378,450122.664528964,41
"IHME",2013,41,651464.06626285,577284.452100341,722499.031970468,600870.831265318,540237.462753071,656893.916908788,50593.234997532,150618.238891121,450252.592374197,2977351.13112307,651464.06626285,441159.087871251,41
"IHME",2014,41,624679.063392531,552559.493378832,693772.387459468,576051.937759342,518265.481493666,628849.428372119,48627.1256331893,141266.443983459,434785.493775882,2947035.42536507,624679.06339253,422364.090962081,41
"IHME",2015,41,607989.009220152,536057.208101066,676905.813612075,561017.63952004,502535.218869009,612611.794170365,46971.3697001111,132913.978008521,428103.661511519,2926030.89102819,607989.009220152,416106.090635253,41
"IHME",2016,41,576222.605969875,507094.2763182,643439.86193382,532297.717417625,476528.585775371,583168.281294455,43924.8885522497,123882.346940351,408415.370477275,2867888.5998119,576222.605969875,399437.285154483,41
"IHME",2017,41,560780.924415542,492845.863673009,626913.409612165,517514.684456494,463284.640035979,567301.900378093,43266.2399590483,121200.161320729,396314.523135765,2815381.95717175,560780.924415542,391914.288866459,41
"IHME",2018,41,557919.910639285,490519.529654319,623044.469711561,513245.577864252,459859.447108197,560808.027415599,44674.3327750328,122925.091346461,390320.486517791,2756283.01442958,557919.910639284,394439.127231915,41
"IHME",2019,41,558357.224165086,491717.937848486,623087.969720509,511883.155147785,459267.049266185,559063.201882337,46474.0690173014,126182.057487231,385701.097660554,2706693.5885947,558357.224165086,396684.883887116,41
"IHME",2020,41,553042.140223139,486509.227860262,617808.757265568,506270.001174076,453663.46824106,553197.844804229,46772.1390490618,125733.843515822,380536.157658255,2657100.75720726,553042.140223139,442101.918943816,41
"IHME",2021,41,528570.968480885,463180.258799994,591619.742748491,484912.368960008,433944.186229644,530319.658813108,43658.5995208766,117925.153434159,366987.21552585,2616424.98882358,528570.968480885,433411.298633677,41
"IHME",2022,41,514706.904544673,449827.715011361,577810.670961363,472901.244859469,421479.388285382,519771.89332332,41805.6596852046,112924.293282435,359976.951577034,2606587.8372974,514706.904544673,411754.38312681,41
"IHME",2023,41,506416.441902235,440640.289903564,569826.052236774,464959.29087696,413055.501624549,512266.672396388,41457.1510252743,110488.697898672,354470.592978287,2599577.1734682,506416.441902234,400132.483249034,41
"IHME",2024,41,518537.326069736,452717.903408431,582367.720816014,477616.837280823,426119.056617548,525754.255480987,40920.4887889136,110728.880164607,366887.957116216,2635204.04833828,518537.326069736,428127.403579492,41
"IHME",2025,41,517880.253281764,452582.963778263,581402.768376603,477395.353618789,426056.661656944,525585.783674567,40484.8996629743,109702.186729792,367693.166888997,2619996.88344234,517880.253281764,470230.650123957,41
