"grouping","age_group","window","rate_ratio_vs_window1","lo","hi"
"neonatal split","3-11 months",1,1,NA,NA
"neonatal split","3-11 months",2,0.940109707091781,0.890406616376675,0.992587257453972
"neonatal split","3-11 months",3,0.924878772696428,0.871383864928679,0.98165777289721
"neonatal split","3-11 months",4,0.949844897560097,0.887878187643426,1.01613638219399
"neonatal split","3-11 months",5,0.969808213825493,0.896285233866876,1.04936234143414
"neonatal split","12-23 months",1,1,NA,NA
"neonatal split","12-23 months",2,1.0489444797017,0.977476294547568,1.12563806164318
"neonatal split","12-23 months",3,1.07074482918206,0.991095366988507,1.15679532707715
"neonatal split","12-23 months",4,0.984327240687839,0.900585541793052,1.07585573140678
"neonatal split","12-23 months",5,1.06180451267803,0.958573472850533,1.17615274684241
"neonatal split","24-59 months",1,1,NA,NA
"neonatal split","24-59 months",2,1.15653526437812,1.09215895399629,1.22470617748075
"neonatal split","24-59 months",3,1.28912652713264,1.21083233725456,1.37248333384053
"neonatal split","24-59 months",4,1.42674445215437,1.32920680750988,1.53143944211868
"neonatal split","24-59 months",5,1.45378484267325,1.33820319584654,1.57934936588572
"six bands","<1 month",1,1,NA,NA
"six bands","<1 month",2,0.913163348146742,0.874474181110438,0.953564231410118
"six bands","<1 month",3,0.966204303894349,0.923165268459128,1.01124986907509
"six bands","<1 month",4,0.939425954935545,0.894079402807824,0.98707242559781
"six bands","<1 month",5,0.945765119346896,0.894515593720376,0.999950886549731
"six bands","1-2 months",1,1,NA,NA
"six bands","1-2 months",2,0.918956115533787,0.841867544022883,1.00310357403919
"six bands","1-2 months",3,1.0349794711528,0.947040578986149,1.13108406279114
"six bands","1-2 months",4,0.967989871893443,0.880706997801623,1.06392295556546
"six bands","1-2 months",5,0.982734875523984,0.885342848137648,1.09084050049387
"six bands","3-11 months",1,1,NA,NA
"six bands","3-11 months",2,0.940109707091781,0.890406616376675,0.992587257453972
"six bands","3-11 months",3,0.924878772696428,0.871383864928679,0.98165777289721
"six bands","3-11 months",4,0.949844897560097,0.887878187643426,1.01613638219399
"six bands","3-11 months",5,0.969808213825493,0.896285233866876,1.04936234143414
"six bands","12-23 months",1,1,NA,NA
"six bands","12-23 months",2,1.0489444797017,0.977476294547568,1.12563806164318
"six bands","12-23 months",3,1.07074482918206,0.991095366988507,1.15679532707715
"six bands","12-23 months",4,0.984327240687839,0.900585541793052,1.07585573140678
"six bands","12-23 months",5,1.06180451267803,0.958573472850533,1.17615274684241
"six bands","24-35 months",1,1,NA,NA
"six bands","24-35 months",2,1.22667221083197,1.13182537677411,1.32946719847908
"six bands","24-35 months",3,1.33300058197229,1.2237911874442,1.45195566839256
"six bands","24-35 months",4,1.42397490596763,1.29866673342409,1.56137404665725
"six bands","24-35 months",5,1.62966490987685,1.46992860977278,1.80675966222226
"six bands","36-59 months",1,1,NA,NA
"six bands","36-59 months",2,1.10670330317269,1.02465651378509,1.19531978255714
"six bands","36-59 months",3,1.2624872098326,1.16427997084034,1.36897824828208
"six bands","36-59 months",4,1.43139092110614,1.31045225906565,1.56349073753052
"six bands","36-59 months",5,1.33080675977386,1.20195386813723,1.47347304984721
"six bands (4-month split)","<1 month",1,1,NA,NA
"six bands (4-month split)","<1 month",2,0.913163348146742,0.874474181110438,0.953564231410118
"six bands (4-month split)","<1 month",3,0.966204303894349,0.923165268459128,1.01124986907509
"six bands (4-month split)","<1 month",4,0.939425954935545,0.894079402807824,0.98707242559781
"six bands (4-month split)","<1 month",5,0.945765119346896,0.894515593720376,0.999950886549731
"six bands (4-month split)","1-3 months",1,1,NA,NA
"six bands (4-month split)","1-3 months",2,0.917517802864983,0.851493399774172,0.988661707533438
"six bands (4-month split)","1-3 months",3,1.01302405082525,0.937973603127445,1.09407953926285
"six bands (4-month split)","1-3 months",4,0.970431330092214,0.893047436459408,1.05452065363758
"six bands (4-month split)","1-3 months",5,0.984221215395107,0.896682817171787,1.08030552418653
"six bands (4-month split)","4-11 months",1,1,NA,NA
"six bands (4-month split)","4-11 months",2,0.945361384158893,0.892188085625922,1.00170374504814
"six bands (4-month split)","4-11 months",3,0.911030545581134,0.855379965684521,0.970301723536005
"six bands (4-month split)","4-11 months",4,0.941009040992666,0.876770110919261,1.00995460976826
"six bands (4-month split)","4-11 months",5,0.962232973036434,0.886375919768081,1.04458195868046
"six bands (4-month split)","12-23 months",1,1,NA,NA
"six bands (4-month split)","12-23 months",2,1.0489444797017,0.977476294547568,1.12563806164318
"six bands (4-month split)","12-23 months",3,1.07074482918206,0.991095366988507,1.15679532707715
"six bands (4-month split)","12-23 months",4,0.984327240687839,0.900585541793052,1.07585573140678
"six bands (4-month split)","12-23 months",5,1.06180451267803,0.958573472850533,1.17615274684241
"six bands (4-month split)","24-35 months",1,1,NA,NA
"six bands (4-month split)","24-35 months",2,1.22667221083197,1.13182537677411,1.32946719847908
"six bands (4-month split)","24-35 months",3,1.33300058197229,1.2237911874442,1.45195566839256
"six bands (4-month split)","24-35 months",4,1.42397490596763,1.29866673342409,1.56137404665725
"six bands (4-month split)","24-35 months",5,1.62966490987685,1.46992860977278,1.80675966222226
"six bands (4-month split)","36-59 months",1,1,NA,NA
"six bands (4-month split)","36-59 months",2,1.10670330317269,1.02465651378509,1.19531978255714
"six bands (4-month split)","36-59 months",3,1.2624872098326,1.16427997084034,1.36897824828208
"six bands (4-month split)","36-59 months",4,1.43139092110614,1.31045225906565,1.56349073753052
"six bands (4-month split)","36-59 months",5,1.33080675977386,1.20195386813723,1.47347304984721
