"engine","age_band","pfpr","af","af_lo","af_hi","attributable_per_1000cy","attributable_lo","attributable_hi","allcause_rate_per_1000cy","rate_lo","rate_hi","reference_rate_per_1000cy"
"mgcv (fREML, coefficient draws)","1-3 months",10,0.0452547233028443,-0.00191255006477198,0.0909233927242379,1.53187722217062,-0.0694332153557852,3.01644747147408,34.1039441439124,30.318624960433,38.2747837335759,32.5720669217418
"mgcv (fREML, coefficient draws)","1-3 months",30,0.130820932494521,0.0324808763593743,0.226583034017745,4.93466629388409,1.14976278478193,8.77299847083024,37.5067332156258,33.4592134221019,41.7802921291945,32.5720669217418
"mgcv (fREML, coefficient draws)","1-3 months",50,0.192075796417711,0.0841950133785548,0.292091189371169,7.81493273729885,3.08154510828023,12.6307128694317,40.3869996590406,35.7733974365977,45.3679085340427,32.5720669217418
"mgcv (fREML, coefficient draws)","4-11 months",10,0.102396084385802,0.0548814972238218,0.145368604720342,1.97737464837211,1.03462788556124,2.81763519710926,19.3476993024524,17.4678722805645,21.4736524605627,17.3703246540803
"mgcv (fREML, coefficient draws)","4-11 months",30,0.263396517962341,0.182545042308414,0.334868791955699,6.23439226719231,4.02310006369905,8.30375605435225,23.6047169212726,21.2349347813657,26.1330757547053,17.3703246540803
"mgcv (fREML, coefficient draws)","4-11 months",50,0.350419407274528,0.269790806977912,0.423631755945782,9.4144419590687,6.73984999694004,12.0832971269587,26.784766613149,23.7494381753102,30.0576824119251,17.3703246540803
"mgcv (fREML, coefficient draws)","12-23 months",10,0.264751691978244,0.200631976258816,0.325017769364959,2.2485448470108,1.6915131871353,2.85143170186422,8.49803719287307,7.50900952935209,9.62812552211582,6.24949234586226
"mgcv (fREML, coefficient draws)","12-23 months",30,0.488314641132414,0.405738828763636,0.562937160091472,5.98903971463628,4.57416935060857,7.48036309001657,12.2385320604986,10.7499717046149,14.0352894846562,6.24949234586226
"mgcv (fREML, coefficient draws)","12-23 months",50,0.500367010369419,0.424271759987139,0.570094384300344,6.28667821985318,4.77678898454394,7.82797513158038,12.5361705657154,10.9156765640823,14.5013685876136,6.24949234586226
"mgcv (fREML, coefficient draws)","24-35 months",10,0.333921902036119,0.274862254866475,0.391822013920943,1.84210842684155,1.47307163608153,2.21769059841484,5.52128189204053,4.83872442316811,6.23615626784599,3.67917346519897
"mgcv (fREML, coefficient draws)","24-35 months",30,0.567458802568729,0.496643791788342,0.635000137322789,4.84214207757074,3.84511037872847,5.81504199632445,8.52131554276971,7.47583850992945,9.756433412338,3.67917346519897
"mgcv (fREML, coefficient draws)","24-35 months",50,0.556414172676565,0.484308974760563,0.622142752464911,4.63233205056914,3.63573409046046,5.638549846458,8.31150551576812,7.21008754658931,9.52873993999306,3.67917346519897
"mgcv (fREML, coefficient draws)","36-59 months",10,0.239450618120519,0.175199509789703,0.300739852014096,0.864312853323184,0.631727082915443,1.09499734551744,3.61462825462495,3.17567833209354,4.08238946929215,2.75031540130177
"mgcv (fREML, coefficient draws)","36-59 months",30,0.439186726283359,0.356181650914007,0.51139293819955,2.16136587258777,1.61684192224329,2.71388831643457,4.91168127388953,4.31236878197812,5.54701236301364,2.75031540130177
"mgcv (fREML, coefficient draws)","36-59 months",50,0.420049294235701,0.336486887543308,0.499142879782398,2.00078983897706,1.45278580533635,2.60437568772627,4.75110524027882,4.10473407827329,5.41130403859482,2.75031540130177
