"iso3","country","pfpr_window","pfpr_target_year","allcause_1mo5y","attributable_fraction_pct","malaria_deaths","malaria_deaths_lo","malaria_deaths_hi","deaths_per_1000_births","births","pfpr_years"
"BEN","Benin",36.1451890000176,36.2947064834239,22958.16423441,28.2516188194927,6486.05304745861,4178.83941928246,8483.84430715902,13.419518939259,483329.773356,5
"SSD","South Sudan",24.6835953688138,23.1228818950924,19963.3873625472,23.2238620702915,4636.26954563598,2709.05651250252,6291.45346989523,13.2840491042068,349010.268576,5
"SLE","Sierra Leone",32.3213004594176,30.2931646063336,16184.0666989872,26.9223555649875,4357.13198157607,2741.28949436851,5732.10070494972,16.7457051614222,260193.998376,5
"MDG","Madagascar",9.85095118611442,9.57027762649808,39839.8489531512,10.7334940616595,4276.2078215606,1837.38668115939,6545.13068148138,4.21826316623218,1013736.614584,5
"CAF","Central African Republic",32.9679917273992,33.7126920376516,14725.185677566,27.168842251467,4000.66246797352,2522.65197096622,5262.23819027061,16.2469676663773,246240.56317,5
"TZA","Tanzania",8.83038564101318,8.79149395204094,40799.9506062447,9.59489209689229,3914.71123625453,1637.84411329509,6049.32179559674,1.64072654856858,2385962.023757,5
"MWI","Malawi",18.615932178778,19.2304264603884,16995.1464118296,19.0486926331084,3237.35320253617,1708.00066544102,4570.38531173316,4.80027054354332,674410.571898,5
"BDI","Burundi",26.8716294330136,23.5469084975939,13063.148583688,24.444065746516,3193.16462836177,1912.34856378563,4290.65172848227,6.84433840902448,466541.020846,5
"ETH","Ethiopia",4.03294817524277,3.96593070817917,80206.7239890539,3.86679778958661,3101.43183030857,1178.84141513628,4948.60878255924,0.746291973390215,4155788.807723,5
"SDN","Sudan",4.84670674047768,4.74627716812878,63088.8699613092,4.87599607302481,3076.21082182917,1182.04569078237,4889.61088813364,1.8480025116764,1664613.983148,5
"GHA","Ghana",18.3468069862488,16.0953150268076,15883.982561664,18.834359166556,2991.64632561692,1568.06385163207,4230.20986551201,3.35251593164697,892358.57088,5
"ZMB","Zambia",14.5247540919949,14.224126117973,18832.786743888,15.5078840675988,2920.56673494027,1377.47968174424,4274.44086355928,4.18712869825169,697510.620144,5
"TGO","Togo",21.1619759147376,20.9024252758318,9029.008977273,20.9504860222263,1891.62126372913,1044.53217173591,2619.45585971995,7.0184128174458,269522.656038,5
"LBR","Liberia",19.3818706733945,15.0057679008546,9181.8361393815,19.6446108623465,1803.7359795998,964.705293527862,2533.82013563022,10.5098668113554,171623.105409,5
"SOM","Somalia",3.04233272914191,2.99681056514227,53851.9249016574,2.62134296254207,1411.64364360304,532.538105959416,2262.73372430119,1.75367844194065,804961.508246,5
"KEN","Kenya",4.76867997655253,4.54009415967545,27546.0937716352,4.77980588928206,1316.64981236378,505.307242417316,2093.44755316515,0.865144865960053,1521883.633792,5
"COG","Congo - Brazzaville",24.338434105389,23.1096800626508,4354.4325234864,23.0183948132109,1002.32047013096,583.04952546256,1364.6953505496,5.20215722778566,192674.005464,5
"GNQ","Equatorial Guinea",23.2634222143407,22.8478980883679,2367.0640084968,22.3548383342045,529.1533323666,303.316959831099,723.718454055483,9.32196758536328,56764.124904,5
"ZWE","Zimbabwe",3.51590967777054,3.37660316677918,15413.759343633,3.21896915387149,496.16415872353,187.662183412505,793.630490685974,0.997880437700161,497218.043343,5
"SEN","Senegal",4.59019265321146,6.71100162037475,8423.4056564736,4.55930079201888,384.048400810564,147.000261901552,611.059312872509,0.711250923554946,539961.901056,5
"GAB","Gabon",17.9970952111471,18.3714864787975,1122.6486597352,18.5519739287114,208.273486665102,108.259525574371,294.894694934267,3.02397175037996,68874.150904,5
"RWA","Rwanda",2.70058639656661,2.74687564370036,8121.3759980262,2.18763922200186,177.666406699066,66.9312791581668,285.19699478227,0.444090762066377,400067.783154,5
"GNB","Guinea-Bissau",6.34552216939325,6.30792437175638,2297.040368736,6.69794176207992,153.854426149403,60.1614279063375,242.439776787825,2.36437344201421,65071.96512,5
"GMB","Gambia",5.52422215651888,7.4363160474733,1598.6562572904,5.70580749560519,91.216248557437,35.480382826923,144.50371432921,1.10692665414741,82404.961716,5
"MRT","Mauritania",2.43272230446165,2.79225102838755,2832.223640785,1.84629679788225,52.2912543886776,19.6780079307578,84.0332092761224,0.297253784459043,175914.51185,5
"SWZ","Eswatini",2.16026918514302,2.19938231245895,590.7441185856,1.49785769854407,8.84850625893072,3.32615169667295,14.2355592474224,0.301069397407358,29390.254656,5
"COM","Comoros",1.56780442222953,2.0569309592247,413.4862446624,0.735842726439906,3.04260845617778,1.1409677860601,4.90667432860519,0.124357420768344,24466.641696,5
"BWA","Botswana",0.102710427310466,0.0693041851554974,964.2542347103,0,0,0,0,0,61417.467179,5
"ERI","Eritrea",0.950054312919409,0.997536730544655,1898.7789738159,0,0,0,0,0,101538.982557,5
"NAM","Namibia",0.846952926644696,0.819213647739499,1420.0015031501,0,0,0,0,0,78453.121721,5
"ZAF","South Africa",0.113321229978832,0.139202143153903,26850.758917752,0,0,0,0,0,1182852.81576,5
