"grouping","age_group","pfpr","hr","lo","hi"
"six bands","24-35 months",28,2.2471309095042,1.93451281703308,2.61026821843115
"six bands","24-35 months",29,2.26141234481179,1.94640234724605,2.62740424686749
"six bands","24-35 months",30,2.27232850013153,1.95565593227283,2.64027875624784
"six bands","24-35 months",31,2.28009700415745,1.96240153177842,2.64922456703158
"six bands","24-35 months",32,2.28496962680677,1.96680298375917,2.6546055901595
"six bands","24-35 months",33,2.28722528765208,1.96905522855419,2.65680689937599
"six bands","24-35 months",34,2.28716292666079,1.96937848028006,2.65622596442085
"six bands","24-35 months",35,2.28509447833648,1.96801160006722,2.65326524231134
"six bands","24-35 months",36,2.2813381564073,1.96520498242665,2.64832616974811
"six bands","24-35 months",37,2.2762122162099,1.96121329870245,2.64180446698532
"six bands","24-35 months",38,2.27002931916886,1.95628844645491,2.63408656286056
"six bands","24-35 months",39,2.26309158134945,1.95067303188938,2.62554688656053
"six bands","24-35 months",40,2.25568647119667,1.94459476429756,2.61654589930857
"six bands","24-35 months",41,2.24808412207052,1.93826241942567,2.60742929814588
"six bands","24-35 months",42,2.24053403572334,1.93186195150409,2.59852561479681
"six bands","24-35 months",43,2.23326254446398,1.92555393727189,2.59014380016377
"six bands","24-35 months",44,2.22647130963729,1.91947266493197,2.58257102755547
"six bands","24-35 months",45,2.22033636341976,1.91372650062415,2.5760700732922
"six bands","24-35 months",46,2.21500761845528,1.90839941919188,2.57087625393038
"six bands","24-35 months",47,2.21060877281426,1.90355351764794,2.56719398805322
"six bands","24-35 months",48,2.20723754296628,1.89923226225015,2.56519314036282
"six bands","24-35 months",49,2.20496616535209,1.89546416189693,2.56500538922449
"six bands","24-35 months",50,2.20384246974384,1.89226677413091,2.56672140410927
"six bands","24-35 months",51,2.20389203124636,1.88965104401845,2.57038996737842
"six bands","24-35 months",52,2.20511807922236,1.88762331132421,2.57601488291757
"six bands","24-35 months",53,2.20750244202705,1.88618719669967,2.58355429412413
"six bands","24-35 months",54,2.21100799770633,1.8853455291065,2.59292330792972
"six bands","24-35 months",55,2.21557934895576,1.88509988904704,2.60399561850313
"six bands","24-35 months",56,2.22114388336771,1.88544948527269,2.61660690947033
"six bands","24-35 months",57,2.22761354614231,1.88638975155923,2.63056036370801
"six bands","24-35 months",58,2.23488769556725,1.88791130576745,2.64563435609467
"six bands","24-35 months",59,2.24285531110868,1.88999786960839,2.6615902734381
"six bands","24-35 months",60,2.25139623049154,1.89262308613805,2.67817983612074
"six bands","36-59 months",0,0.971220280352543,0.962757001161855,0.979757957438623
"six bands","36-59 months",1,1,1,1
"six bands","36-59 months",2,1.02961942020622,1.02065470860695,1.03866287151381
"six bands","36-59 months",3,1.06006957480102,1.04171633779293,1.07874616404663
"six bands","36-59 months",4,1.0913194614418,1.0631698157316,1.12021442792945
"six bands","36-59 months",5,1.12331643008489,1.08499087534542,1.16299577330265
"six bands","36-59 months",6,1.1559867743034,1.10714617641918,1.20698192418129
"six bands","36-59 months",7,1.1892365640515,1.12959342998891,1.25202888732355
"six bands","36-59 months",8,1.22295275739344,1.15228154259591,1.29795834744245
"six bands","36-59 months",9,1.25700462325057,1.17515080152731,1.34455988186345
"six bands","36-59 months",10,1.29124549802509,1.19813312379174,1.39159405834095
"six bands","36-59 months",11,1.32551488660812,1.22115239196316,1.43879644029943
"six bands","36-59 months",12,1.35964090330436,1.24412489938613,1.4858824759881
"six bands","36-59 months",13,1.39344303157887,1.26695992596565,1.53255319482644
"six bands","36-59 months",14,1.42673516417181,1.28956046380743,1.57850157927013
"six bands","36-59 months",15,1.45932886812697,1.31182410941892,1.62341942799945
"six bands","36-59 months",16,1.49103680366097,1.33364413586584,1.66700448049297
"six bands","36-59 months",17,1.52167621292653,1.35491075416231,1.7089675389122
"six bands","36-59 months",18,1.55107238500071,1.37551256789568,1.74903930335753
"six bands","36-59 months",19,1.57906199844767,1.3953382186643,1.78697663519058
"six bands","36-59 months",20,1.60549624211981,1.41427821179453,1.82256797988153
"six bands","36-59 months",21,1.63024361954761,1.43222690205911,1.85563771721836
"six bands","36-59 months",22,1.65319235160004,1.44908460741864,1.88604925992378
"six bands","36-59 months",23,1.67425230569538,1.46475980520399,1.91370678876318
"six bands","36-59 months",24,1.69335639737608,1.47917135021774,1.93855558932532
"six bands","36-59 months",25,1.71046142956327,1.4922506383357,1.96058103569427
"six bands","36-59 months",26,1.72554835635002,1.50394362428005,1.97980634515314
"six bands","36-59 months",27,1.73862197924406,1.51421258969665,1.99628929734107
"six bands","36-59 months",28,1.74971010417936,1.52303755048826,2.01011816661111
"six bands","36-59 months",29,1.75886220569317,1.53041719294911,2.02140715150652
"six bands","36-59 months",30,1.76614765961254,1.53636923902372,2.03029159678893
"six bands","36-59 months",31,1.77165361719669,1.54093016367354,2.03692329043867
"six bands","36-59 months",32,1.77548260085858,1.54415422130235,2.04146608056601
"six bands","36-59 months",33,1.77774990514813,1.54611178186005,2.04409200054868
"six bands","36-59 months",34,1.77858088603436,1.54688702606028,2.04497802029112
"six bands","36-59 months",35,1.77810821767183,1.54657509800065,2.0443034663104
"six bands","36-59 months",36,1.77646918904648,1.5452788563251,2.04224808144759
"six bands","36-59 months",37,1.77380310395488,1.54310539692664,2.03899063399462
"six bands","36-59 months",38,1.77024883743175,1.54016253779233,2.03470794122835
"six bands","36-59 months",39,1.76594259067326,1.53655545889157,2.02957414619021
"six bands","36-59 months",40,1.76101592310921,1.53238371437951,2.0237601407164
"six bands","36-59 months",41,1.75559429900335,1.5277389377294,2.01743325811533
"six bands","36-59 months",42,1.74979538097389,1.52270275653346,2.01075611253765
"six bands","36-59 months",43,1.74372762021347,1.51734541846758,2.00388519086585
"six bands","36-59 months",44,1.7374892705633,1.51172528983638,1.99696928113792
"six bands","36-59 months",45,1.73116765202416,1.50588910203008,1.9901475051348
"six bands","36-59 months",46,1.72483864883668,1.49987289263999,1.98354699196155
"six bands","36-59 months",47,1.71856642542409,1.49370353653543,1.97728028779081
"six bands","36-59 months",48,1.71240334225331,1.48740071227473,1.9714426531878
"six bands","36-59 months",49,1.70639005336884,1.48097910704505,1.96610944771926
"six bands","36-59 months",50,1.70055591595632,1.47445073290715,1.96133404714862
"six bands","36-59 months",51,1.69491992006105,1.46782724901983,1.9571468899614
"six bands","36-59 months",52,1.68949073874706,1.46112118284539,1.95355388028354
"six bands","36-59 months",53,1.68426727842151,1.45434686857643,1.95053623482416
"six bands","36-59 months",54,1.6792399081796,1.44752111610088,1.94805218235346
"six bands","36-59 months",55,1.67439098219066,1.44066266249062,1.94603860725769
"six bands","36-59 months",56,1.6696955568539,1.4337911250106,1.94441380194555
"six bands","36-59 months",57,1.66512242092124,1.42692565501636,1.94308138402826
"six bands","36-59 months",58,1.66063556675983,1.42008364481046,1.941935248438
"six bands","36-59 months",59,1.65619537133131,1.41327893147872,1.94086464244483
"six bands","36-59 months",60,1.65175935536337,1.40651955226372,1.93975900558179
"six bands (4-month split)","<1 month",0,0.997724554868392,0.993757320311866,1.00170762724539
"six bands (4-month split)","<1 month",1,1,1,1
"six bands (4-month split)","<1 month",2,1.00228195104344,0.998299195683135,1.0062805957687
"six bands (4-month split)","<1 month",3,1.00457357354442,0.996614625010556,1.01259608211461
"six bands (4-month split)","<1 month",4,1.00687963294613,0.994960576284548,1.01894147306575
"six bands (4-month split)","<1 month",5,1.00920607502418,0.993355040619652,1.02531004547012
"six bands (4-month split)","<1 month",6,1.01155963285943,0.991818607327468,1.0316935811357
"six bands (4-month split)","<1 month",7,1.01394746092069,0.990373434013315,1.03808262439083
"six bands (4-month split)","<1 month",8,1.01637679682688,0.989042297105076,1.0444667494522
"six bands (4-month split)","<1 month",9,1.01885465131813,0.987847728299116,1.05083483089031
"six bands (4-month split)","<1 month",10,1.02138752687527,0.986811241320198,1.05717531010359
"six bands (4-month split)","<1 month",11,1.02398116533234,0.985952651962469,1.06347645078933
"six bands (4-month split)","<1 month",12,1.02664032470271,0.985289492904018,1.06972657670304
"six bands (4-month split)","<1 month",13,1.02936858534608,0.984836523515635,1.07591428546421
"six bands (4-month split)","<1 month",14,1.03216818548984,0.984605333850664,1.08202863270185
"six bands (4-month split)","<1 month",15,1.03503988603114,0.984604041284909,1.08805928145216
"six bands (4-month split)","<1 month",16,1.037982864471,0.984837077829938,1.09399661242392
