"year","prevalence","rate","rate_lo","rate_hi","af","af_lo","af_hi"
"2005",77.9964355762802,83.3791630263718,54.441232764147,127.698886928157,21.6413990435636,0,49.7664077486704
"2005",79.5825617958598,84.5341335535092,54.4032005432965,131.352928950484,22.7119946816571,0,51.1514280971307
"2005",81.2009432892331,85.7312224870028,54.3362742745539,135.265853377767,23.7911886226089,0,52.551789756096
"2020",1.47799305894986,42.2561246824207,32.5939222772463,54.7826081803844,0.954437352178383,0.434715497315852,1.47144630557359
"2020",1.50804934967438,42.2816142538333,32.6183794628314,54.8075941647281,1.01414720448113,0.461987271659381,1.56324418092012
"2020",1.53871686154548,42.3076379786329,32.6433416261993,54.8331188585934,1.07503409666576,0.489806074461907,1.65682034245996
"2020",1.57000802428354,42.3342073283976,32.668819264628,54.8591945000053,1.13712034288174,0.51818286079307,1.75220703476822
"2020",1.6019355203783,42.3613340303951,32.6948230931295,54.8858336294777,1.20042863891312,0.54712881019916,1.8494369810054
"2020",1.63451229022906,42.3890300735286,32.721364048753,54.9130490983608,1.26498206665699,0.576655331859499,1.94854338448508
"2020",1.66775153738955,42.4173077144225,32.7484532949542,54.9408540774421,1.33080409853998,0.606774069902027,2.04955992989272
"2020",1.70166673391941,42.4461794836515,32.7761022260291,54.9692620658096,1.39791860186465,0.637496908886037,2.15252078413083
"2020",1.73627162584445,42.4756581921127,32.8043224716106,54.9982868999827,1.46634984307233,0.668835979465143,2.25746059675006
"2020",1.77158023872806,42.5057569375477,32.8331259012315,55.0279427633211,1.53612249192131,0.700803664226757,2.36441449996728
"2020",1.80760688335578,42.5364891112182,32.862524628953,55.0582441957209,1.60726162557048,0.733412603715888,2.4734181082432
"2020",1.84436616153561,42.5678684047326,32.8925310180531,55.0892061036016,1.67979273254976,0.766675702663899,2.58450751736147
"2020",1.88187297201615,42.5999088170304,32.9231576857774,55.1208437701973,1.75374171660923,0.800606136426718,2.69771930298928
"2020",1.92014251652519,42.6326246615218,32.9544175081454,55.1531728661553,1.82913490042984,0.835217357649953,2.81309051866835
"2020",1.95919030593105,42.6660305733894,32.9863236248154,55.1862094604544,1.90599902918535,0.87052310316762,2.9306586932099
"2020",1.99903216652921,42.700141517055,33.0188894440086,55.2199700316503,1.98436127395029,0.9065374011337,3.0504618274848
"2020",2.03968424645681,42.7349727938183,33.052128647494,55.2544714794595,2.06424923494337,0.943274578392539,3.17253839058268
"2020",2.08116302223759,42.7705400496597,33.0860551956229,55.289731136686,2.14569094457417,0.980749268125369,3.29692731524155
"2020",2.12348530545991,42.8068592832129,33.12068333241,55.3257667814989,2.22871487027864,1.01897641778327,3.42366799251086
"2020",2.16666824959058,42.8439468539156,33.1560275906722,55.362596650075,2.31334991714555,1.0579712972931,3.55280026566734
"2020",2.21072935692728,42.8818194903335,33.192102797211,55.4002394496096,2.39962543029875,1.09774950757562,3.68436442327834
"2020",2.25568648569232,42.9204942986701,33.2289240780493,55.4387143717088,2.48757119704145,1.1383269893548,3.8184011914487
"2020",2.30155785727069,42.9599887714502,33.2665068637039,55.4780411061663,2.57721744870981,1.17972003232132,3.95495172508846
"2020",2.3483620635953,43.0003207963822,33.3048668944945,55.5182398551318,2.6685948622274,1.2219452846489,4.09405759819075
"2020",2.3961180746824,43.0415086654034,33.3440202258893,55.559331347682,2.76173456134036,1.26501976287843,4.23576079306986
"2020",2.4448452463202,43.0835710839022,33.3839832338764,55.601336854797,2.8566681174984,1.30896086220417,4.38010368846325
"2020",2.49456332791395,43.1265271801155,33.4247726203524,55.6442782047451,2.95342755035024,1.35378636719105,4.52712904641325
"2020",2.54529247049043,43.1703965147315,33.4664054185655,55.6881777988999,3.05204532789796,1.39951446284461,4.67687999809915
"2020",2.5970532348653,43.2151990906718,33.5088989985714,55.7330586279787,3.15255436621875,1.44616374614422,4.82940002833977
"2020",2.64986659997652,43.2609553630367,33.5522710726839,55.7789442887018,3.25498802869991,1.49375323809798,4.98473295861185
"2020",2.70375397138724,43.3076862492476,33.5965397009539,55.8258590008905,3.35938012482536,1.54230239624615,5.14292292874092
"2020",2.75873718996158,43.3554131393804,33.6417232966717,55.8738276250051,3.46576490848127,1.59183112763899,5.30401437718544
"2020",2.81483854071687,43.4041579066523,33.6878406318398,55.9228756801062,3.57417707566178,1.64235980243146,5.46805201955545
"2020",2.87208076185591,43.4539429180715,33.7349108426269,55.9730293622435,3.68465176157126,1.69390926807755,5.63508082538938
"2020",2.93048705398287,43.5047910453018,33.7829534348703,56.024315563298,3.79722453720778,1.74650086398553,5.80514599350244
"2020",2.99008108950665,43.5567256756924,33.8319882895613,56.076761890252,3.91193140529067,1.80015643679609,5.97829292549712
"2020",3.05088702223543,43.6097707234613,33.8820356683012,56.1303966848758,4.02880879547346,1.85489835633728,6.15456719728695
"2020",3.11292949716635,43.6639506410278,33.9331162187246,56.1852490438255,4.14789355880548,1.91074953227744,6.33401452856057
"2020",3.1762336604743,43.7192904304803,33.9852509798747,56.241348839135,4.26922296138266,1.96773343152628,6.5166807500435
"2020",3.24082516970375,43.7758156552051,34.0384613875719,56.2987267391053,4.39283467721696,2.02587409631476,6.70261176870429
"2020",3.30673020416797,43.8335524516484,34.092769279741,56.3574142295668,4.51876678023004,2.08519616304578,6.89185353065721
"2020",3.3739754755596,43.8925275411804,34.1481969016711,56.4174436354794,4.64705773527877,2.14572488200201,7.08445198152648
"2020",3.44258823877709,43.9527682420949,34.2047669112588,56.4788481428717,4.77774638825824,2.20748613781578,7.28045302448116
"2020",3.51259630297126,44.0143024816772,34.2625023841614,56.5416618210617,4.91087195510679,2.27050647088707,7.47990247545317
"2020",3.58402804281651,44.0771588083672,34.3214268189112,56.6059196451452,5.04647400974569,2.33481309966844,7.68284601571482
"2020",3.65691241001122,44.1413664040097,34.3815641419964,56.6716575187175,5.18459247091458,2.40043394382131,7.8893291417721
"2020",3.73127894501207,44.206955096133,34.442938712856,56.7389122967629,5.32526758774715,2.46739764839351,8.0993971121694
"2020",3.80715778900694,44.2739553702662,34.5055753288266,56.8077218086767,5.46853992409166,2.5357336089614,8.31309489131193
"2020",3.88457969613134,44.3423983822338,34.5694992299895,56.8781248813401,5.61445034142007,2.60547199787461,8.53046708991855
"2020",3.96357604593318,44.4123159704069,34.6347361039265,56.9501613621836,5.76303998026971,2.67664379161201,8.75155790203983
"2020",4.04417885609114,44.4837406679266,34.7013120904401,57.023872142186,5.91435024023266,2.74928079917154,8.97641103879673
"2020",4.12642079539159,44.5567057148675,34.7692537862383,57.0992991787214,6.06842275841031,2.82341569152563,9.20506965870684
"2020",4.21033519696945,44.6312450702296,34.8385882494893,57.1764855181264,6.22529938608929,2.89908203235202,9.43757629399073
"2020",4.29595607181829,44.707393423787,34.9093430043371,57.25547531791,6.38502216369327,2.97631430990108,9.67397277316041
"2020",4.3833181225752,44.7851862077008,34.9815460453168,57.3363138684647,6.54763329381437,3.05514797013294,9.91430013945663
"2020",4.47245675758597,44.8646596079352,35.0552258417913,57.4190476141871,6.71317511240818,3.13561945094957,10.158598565533
"2020",4.56340810525628,44.945850575337,35.1304113422994,57.5037241738229,6.88169005787073,3.21776621771913,10.4069072637383
"2020",4.65620902869477,45.028796836339,35.2071319788509,57.5903923598855,7.0532206379259,3.30162680006194,10.659264391972
"2020",4.75089714065385,45.1135369032366,35.2854176711944,57.6791021969729,7.22780939424424,3.38724082985903,10.9157069550846
"2020",4.8475108187744,45.2001100839658,35.365298831067,57.7699049387896,7.4054988646687,3.47464908047986,11.1762707016793
"2020",4.94608922114042,45.2885564913299,35.4468063664743,57.8628530836639,7.58633154297819,3.56389350716316,11.4409900163409
"2020",5.04667230215005,45.3789170515554,35.5299716859615,57.9580003883199,7.77034983598399,3.65501728857472,11.7098978069769
"2020",5.14930082870929,45.4712335121015,35.6148267029196,58.0554018796492,7.95759601786447,3.74806486946683,11.9830253872662
"2020",5.25401639675511,45.5655484486307,35.701403839952,58.1551138642088,8.14811218161397,3.84308200435515,12.2604023541656
"2020",5.36086144811447,45.6619052710173,35.7897360332971,58.2571939351428,8.34194018742878,3.94011580214499,12.5420564603129
"2020",5.46987928770628,45.7603482282785,35.8798567373353,58.3617009762016,8.5391216078971,4.03921477157741,12.8280134813092
"2020",5.58111410109313,45.8609224122968,35.9717999291879,58.4686951625162,8.73969766982581,4.14042886734842,13.1182970778181
"2020",5.69461097238992,45.9636737602145,36.0656001134736,58.578237957731,8.94370919259311,4.24380953673287,13.4129286525486
