"iso3","year","pfpr_death_weighted","allcause_under5_deaths","allcause_postneonatal_deaths","malaria_deaths","lo","hi","malaria_deaths_1_59m","lo_1_59m","hi_1_59m","carried_forward"
"NGA",2023,24.4526244537268,877127.653721104,582749.194595528,236672.127238918,211967.286145551,262646.272614092,218742.647247175,199406.913150875,237017.521323746,FALSE
"NGA",2024,24.7292616005723,873988.514612402,579130.797744896,236542.77068314,211909.235573352,262423.042216679,218354.535968811,199063.90123561,236521.741560186,FALSE
"NGA",2025,24.7292616005723,873988.514612402,579130.797744896,236542.77068314,211909.235573352,262423.042216679,218354.535968811,199063.90123561,236521.741560186,TRUE
"COD",2005,65.2396602416459,319726.020468557,243135.703668211,102425.926259989,90648.4986654471,113028.957401882,98288.2676495332,87885.8805559175,107067.072471386,FALSE
"COD",2006,65.3438757828187,316923.589043348,239891.69902356,101055.664755137,89084.2896346055,111517.482962762,96669.3230667014,86341.9205957606,105931.614399578,FALSE
"COD",2007,63.9991917399808,312561.311055474,235382.28785109,98666.5742154156,87031.6938667048,109184.393630656,94303.4402240476,84139.6950620753,103338.424460254,FALSE
"COD",2008,59.3512311831908,309461.608452797,232096.206339598,96653.6473044972,86060.1207277845,106361.432915267,92100.7556867432,82772.0035521993,100109.918824147,FALSE
"COD",2009,53.0499685069841,307046.78774784,228969.176006246,94966.2313800822,85614.2463739774,104071.05386095,89748.5419722108,81290.4661583827,97209.367122744,FALSE
"COD",2010,48.4532477511393,305344.666976544,227051.162623584,93572.0451677727,84587.1845771545,102645.708035817,87972.8763895042,80189.9118239543,95350.6691545448,FALSE
"COD",2011,43.8286463066122,306305.114679045,226846.514228225,92555.6174228096,83654.3426714018,101596.081789733,86673.2136893879,78758.4311001485,93965.0836172793,FALSE
"COD",2012,37.9474256686061,308753.93021949,228265.41869199,90100.5466866752,81251.4215406858,98773.5008403119,84261.23525675,76745.371454328,91420.8577641806,FALSE
"COD",2013,32.9962514445325,311587.558616455,230462.21126148,85973.4298211793,77378.0238187099,94271.0282241684,80574.7517019032,73094.5825713091,87537.3175637767,FALSE
"COD",2014,30.523513328868,316193.493105567,233648.913459885,84601.0731738203,76055.3426686824,92894.4440173267,79380.0992749422,71950.3614099088,86439.0407907035,FALSE
"COD",2015,31.1108590992652,321985.63886324,237897.985623656,88680.2136736831,79786.1633791206,97381.5880388235,83131.7297814178,75443.2068618397,90506.9088184641,FALSE
"COD",2016,32.5872989739686,329366.263320937,243335.07541525,93682.6505767142,84374.3371214212,102876.583778278,87456.9982487332,79366.152504879,95110.4823081006,FALSE
"COD",2017,35.205936579827,342438.394288992,252992.737201485,99944.4941367572,90154.7623641367,109614.837483458,92884.570684482,84552.049035418,100941.514412823,FALSE
"COD",2018,37.8666650553424,354133.782364508,261835.010297858,105077.043741907,94682.4140338675,115097.237562096,97762.3157109219,88996.1133046808,106090.415015842,FALSE
"COD",2019,39.2087833534624,364634.469430468,269718.772398676,108354.651673541,97822.2489109132,118712.498892777,101120.002023554,92201.1338474985,109718.573542836,FALSE
"COD",2020,39.4438512642443,375418.130047974,277817.515871532,111322.133841978,100404.030021672,121952.612020268,103953.693634176,94790.0984065342,112718.009857522,FALSE
"COD",2021,38.8680763482327,386279.013923284,286071.002776339,114717.431770787,103647.712645721,125598.410235568,107099.863520887,97593.8363065581,116248.080869987,FALSE
"COD",2022,37.1056284828722,394241.38241342,291951.726435884,117058.735916538,105576.555134243,128183.290452447,108971.221116691,99339.7792791559,118341.767936368,FALSE
"COD",2023,37.1375170707034,398948.573796591,294514.062145567,118405.648172904,106846.801670089,129680.654007455,109931.997471252,100144.90638845,119417.480995576,FALSE
"COD",2024,36.7824977507946,400758.080478892,295318.942248102,118525.599259267,106910.315662292,129834.452269585,109996.815433602,100193.017618959,119524.742645457,FALSE
"COD",2025,36.7824977507946,400758.080478892,295318.942248102,118525.599259267,106910.315662292,129834.452269585,109996.815433602,100193.017618959,119524.742645457,TRUE
