"subset","split","region","era","prevalence","af","lo","hi"
"before 2013","era","Both regions","before 2013",3.79679537694009,0.0512988167942404,0.0237559115591498,0.0813941383879453
"before 2013","era","Both regions","before 2013",5.70336273825971,0.084427381830226,0.0397134755761604,0.132406391813732
"before 2013","era","Both regions","before 2013",7.60993009957932,0.115807202167875,0.0557179326912759,0.17896787482667
"before 2013","era","Both regions","before 2013",9.51649746089894,0.145174816484282,0.0720188963017699,0.220155104634298
"before 2013","era","Both regions","before 2013",11.4230648222186,0.172308346198592,0.0876827576754498,0.256025235704279
"before 2013","era","Both regions","before 2013",13.3296321835382,0.19705068984878,0.104864181209932,0.287423508510835
"before 2013","era","Both regions","before 2013",15.2361995448578,0.21930605255094,0.120772817811115,0.314826930703967
"before 2013","era","Both regions","before 2013",17.1427669061774,0.239041604501874,0.135987662295705,0.337966714171067
"before 2013","era","Both regions","before 2013",19.049334267497,0.256291970321594,0.149761699592193,0.356747105966651
"before 2013","era","Both regions","before 2013",20.9559016288166,0.271155333613037,0.16367254010987,0.371996306553939
"before 2013","era","Both regions","before 2013",22.8624689901362,0.283765613119482,0.175305735935586,0.384536028980484
"before 2013","era","Both regions","before 2013",24.7690363514559,0.29427985949796,0.185610674332105,0.393688576156789
"before 2013","era","Both regions","before 2013",26.6756037127755,0.302885465360491,0.194067407513361,0.401712996962191
"before 2013","era","Both regions","before 2013",28.5821710740951,0.309773089091256,0.201744418533017,0.407563647670347
"before 2013","era","Both regions","before 2013",30.4887384354147,0.315132001736757,0.208092543545284,0.411535454390055
"before 2013","era","Both regions","before 2013",32.3953057967343,0.319167080519449,0.212474373697001,0.414260645160768
"before 2013","era","Both regions","before 2013",34.3018731580539,0.322094345926138,0.216637505247171,0.415742200769531
"before 2013","era","Both regions","before 2013",36.2084405193736,0.324131900480349,0.219853774930111,0.418065344154365
"before 2013","era","Both regions","before 2013",38.1150078806932,0.325494478664817,0.221736614482292,0.419534500795713
"before 2013","era","Both regions","before 2013",40.0215752420128,0.326387576900108,0.222727272012576,0.42048677282361
"before 2013","era","Both regions","before 2013",41.9281426033324,0.326998065229037,0.223312893247756,0.42211541011402
"before 2013","era","Both regions","before 2013",43.834709964652,0.327480862433046,0.225208617751942,0.42317910833577
"before 2013","era","Both regions","before 2013",45.7412773259716,0.327955742677053,0.225282737057308,0.423984997607205
"before 2013","era","Both regions","before 2013",47.6478446872912,0.328515886471657,0.225706259130595,0.425094708418418
"before 2013","era","Both regions","before 2013",49.5544120486109,0.329227101484207,0.225425317993566,0.424983432973743
"before 2013","era","Both regions","before 2013",51.4609794099305,0.330115585334661,0.226332430040154,0.426539713398693
"before 2013","era","Both regions","before 2013",53.3675467712501,0.331179735730084,0.22696402044974,0.428173147825466
"before 2013","era","Both regions","before 2013",55.2741141325697,0.332399910851138,0.225053739544572,0.430692950932717
"before 2013","era","Both regions","before 2013",57.1806814938893,0.333747520220691,0.226525424085835,0.433388365210097
"before 2013","era","Both regions","before 2013",59.0872488552089,0.335188488863289,0.227485545157788,0.435430008240271
"before 2013","era","Both regions","before 2013",60.9938162165285,0.336687898912229,0.227469892751584,0.437055727286656
"before 2013","era","Both regions","before 2013",62.9003835778482,0.338213200038153,0.227459274464294,0.438041563453243
"before 2013","era","Both regions","before 2013",64.8069509391678,0.339735703340982,0.227575121911348,0.441567953399747
"before 2013","era","Both regions","before 2013",66.7135183004874,0.341229798723772,0.230041377667511,0.443509020205702
"before 2013","era","Both regions","before 2013",68.620085661807,0.342671729208797,0.230018728084998,0.446067188589358
"before 2013","era","Both regions","before 2013",70.5266530231266,0.344038807382265,0.230917951170532,0.448735970571517
"before 2013","era","Both regions","before 2013",72.4332203844462,0.345315654882982,0.228469313264777,0.451470162802362
"before 2013","era","Both regions","before 2013",74.3397877457658,0.346493817592945,0.226960074438418,0.453382749830685
"before 2013","era","Both regions","before 2013",76.2463551070855,0.347567776158979,0.224481071081558,0.456640129636517
"2013 onwards","era","Both regions","2013 onwards",1.69563668555267,0.0110464830081105,0.00189469791428492,0.0208796490543058
"2013 onwards","era","Both regions","2013 onwards",2.94166093135487,0.0304816661740621,0.00530809889879059,0.057159487594999
"2013 onwards","era","Both regions","2013 onwards",4.18768517715708,0.0495086056979565,0.00922652505566401,0.0919269614832379
"2013 onwards","era","Both regions","2013 onwards",5.43370942295929,0.0681963849051117,0.0141890889687738,0.125031532856702
"2013 onwards","era","Both regions","2013 onwards",6.6797336687615,0.0866175091278941,0.0205607711955257,0.155604699884336
"2013 onwards","era","Both regions","2013 onwards",7.9257579145637,0.10483394567027,0.0284057969391009,0.185063413694053
"2013 onwards","era","Both regions","2013 onwards",9.17178216036591,0.122878432678431,0.038915952157079,0.21162848967122
"2013 onwards","era","Both regions","2013 onwards",10.4178064061681,0.140735502312709,0.0500431007630616,0.235609139658266
"2013 onwards","era","Both regions","2013 onwards",11.6638306519703,0.158366254535153,0.0620474205726342,0.258292766635913
"2013 onwards","era","Both regions","2013 onwards",12.9098548977725,0.175739184612232,0.0765061356730149,0.278977371183352
"2013 onwards","era","Both regions","2013 onwards",14.1558791435747,0.192764995874737,0.0938405270013884,0.297513958372176
"2013 onwards","era","Both regions","2013 onwards",15.4019033893769,0.209357368003889,0.108502506106005,0.316768989172785
"2013 onwards","era","Both regions","2013 onwards",16.6479276351792,0.225438654194447,0.124218363413069,0.334148829834554
"2013 onwards","era","Both regions","2013 onwards",17.8939518809814,0.240924100797415,0.136686570315452,0.350808889568733
"2013 onwards","era","Both regions","2013 onwards",19.1399761267836,0.255728703261632,0.149142940769715,0.365721439263312
"2013 onwards","era","Both regions","2013 onwards",20.3860003725858,0.269779063066597,0.161083264857418,0.378771510352343
"2013 onwards","era","Both regions","2013 onwards",21.632024618388,0.283016376692219,0.17373688178518,0.391907660764805
"2013 onwards","era","Both regions","2013 onwards",22.8780488641902,0.2954004314115,0.183742848378242,0.403297690488786
"2013 onwards","era","Both regions","2013 onwards",24.1240731099924,0.306911562679773,0.193314055733703,0.414643191824099
"2013 onwards","era","Both regions","2013 onwards",25.3700973557946,0.317548942123401,0.20294416826291,0.422707320473168
"2013 onwards","era","Both regions","2013 onwards",26.6161216015968,0.327331421259539,0.21204262118917,0.43252433564249
"2013 onwards","era","Both regions","2013 onwards",27.862145847399,0.336296073294548,0.221306012095231,0.441050845283706
