"prevalence","af","lo","hi","model","year"
43.1506276150628,0.380790269975489,0.289147640094759,0.460618390845409,"spline_no_time_interaction",2000
43.4393305439331,0.381180734200258,0.289269258949135,0.461206246462995,"spline_no_time_interaction",2000
43.7280334728033,0.381558371414955,0.289376492144113,0.461782443531987,"spline_no_time_interaction",2000
44.0167364016736,0.381923534963186,0.289469616213723,0.462347388162767,"spline_no_time_interaction",2000
44.3054393305439,0.382276575185216,0.289548886653916,0.462901496814144,"spline_no_time_interaction",2000
44.5941422594142,0.382617838625066,0.289614534202757,0.463445197662905,"spline_no_time_interaction",2000
44.8828451882845,0.382947667918319,0.289666766207324,0.463978929305494,"spline_no_time_interaction",2000
45.1715481171548,0.38326640261316,0.289705774859025,0.46450313590791,"spline_no_time_interaction",2000
45.4602510460251,0.383574380134982,0.289731745225696,0.465018262787607,"spline_no_time_interaction",2000
45.7489539748954,0.383871936493299,0.289744860723555,0.46552475350303,"spline_no_time_interaction",2000
46.0376569037657,0.384159406373382,0.289745304717885,0.466023048805411,"spline_no_time_interaction",2000
46.326359832636,0.384437120964186,0.289733251081531,0.466513589966245,"spline_no_time_interaction",2000
46.6150627615063,0.38470540691309,0.289708861021595,0.466996819323271,"spline_no_time_interaction",2000
46.9037656903766,0.384964587133059,0.289672289079047,0.467473177148084,"spline_no_time_interaction",2000
47.1924686192469,0.385214980594285,0.289623684397448,0.467943100319874,"spline_no_time_interaction",2000
47.4811715481172,0.385456901823136,0.289563190835484,0.46840702136344,"spline_no_time_interaction",2000
47.7698744769874,0.38569066061655,0.289490948174649,0.468865367043217,"spline_no_time_interaction",2000
48.0585774058577,0.385916558772878,0.289407083275929,0.469318559312667,"spline_no_time_interaction",2000
48.347280334728,0.386134888842359,0.289311708841275,0.469767014055925,"spline_no_time_interaction",2000
48.6359832635983,0.386345937007402,0.289204935618032,0.470211136940364,"spline_no_time_interaction",2000
48.9246861924686,0.386549985165259,0.289086880964636,0.470651320640456,"spline_no_time_interaction",2000
49.2133891213389,0.386747310310478,0.288957668998407,0.471087943692919,"spline_no_time_interaction",2000
49.5020920502092,0.386938180829078,0.288817422064821,0.471521370480736,"spline_no_time_interaction",2000
49.7907949790795,0.387122861895218,0.28866627678992,0.471951948634697,"spline_no_time_interaction",2000
50.0794979079498,0.387301614731323,0.288504383532484,0.472380008221762,"spline_no_time_interaction",2000
50.3682008368201,0.387474694662689,0.288331902359523,0.472805861436684,"spline_no_time_interaction",2000
50.6569037656904,0.387642353753911,0.288149010278139,0.473229801840178,"spline_no_time_interaction",2000
50.9456066945607,0.387804838101413,0.287955895490583,0.473652104022047,"spline_no_time_interaction",2000
51.234309623431,0.387962388363305,0.287752758981446,0.474073023403691,"spline_no_time_interaction",2000
51.5230125523013,0.388115239031594,0.287539813115829,0.474492796091872,"spline_no_time_interaction",2000
51.8117154811715,0.38826361988184,0.287317284719693,0.47491163916767,"spline_no_time_interaction",2000
52.1004184100418,0.388407754884954,0.287085412583153,0.475329750734704,"spline_no_time_interaction",2000
52.3891213389121,0.388547858182728,0.286844438480727,0.47574730969433,"spline_no_time_interaction",2000
52.6778242677824,0.388684135282996,0.286594608853947,0.476164476617769,"spline_no_time_interaction",2000
52.9665271966527,0.388816789710703,0.286336187722154,0.476581395731325,"spline_no_time_interaction",2000
53.255230125523,0.388946023211317,0.286069456329087,0.476998195609659,"spline_no_time_interaction",2000
53.5439330543933,0.389072036093804,0.285794712845607,0.477414990065893,"spline_no_time_interaction",2000
53.8326359832636,0.389195026203333,0.285512269178556,0.47783187881223,"spline_no_time_interaction",2000
54.1213389121339,0.389315183967729,0.285222439342289,0.478248947561803,"spline_no_time_interaction",2000
54.4100418410042,0.389432694599486,0.284925542153295,0.478666269878203,"spline_no_time_interaction",2000
54.6987447698745,0.389547739712394,0.284621902853613,0.479083908807469,"spline_no_time_interaction",2000
54.9874476987448,0.389660498351007,0.284311853586854,0.479501918342378,"spline_no_time_interaction",2000
55.2761506276151,0.389771146021488,0.283995729633864,0.479920344556733,"spline_no_time_interaction",2000
55.5648535564854,0.389879849435199,0.283673856179695,0.480339226291599,"spline_no_time_interaction",2000
55.8535564853556,0.389986766095814,0.283346544845752,0.480758596973274,"spline_no_time_interaction",2000
56.1422594142259,0.390092047149403,0.283014097397499,0.481178486773348,"spline_no_time_interaction",2000
56.4309623430962,0.390195836614526,0.282676801818005,0.481598924132506,"spline_no_time_interaction",2000
56.7196652719665,0.390298272391765,0.28233493232046,0.482019937447397,"spline_no_time_interaction",2000
57.0083682008368,0.390399487494718,0.281988750070309,0.482441556614759,"spline_no_time_interaction",2000
57.2970711297071,0.390499610668901,0.281638502728121,0.482863814380961,"spline_no_time_interaction",2000
57.5857740585774,0.390598768447113,0.281284427499036,0.483286747599062,"spline_no_time_interaction",2000
