"svkey","SurveyId","iso3","year","success","regions","reason"
"ML53FL","ML2006DHS","MLI",2006,TRUE,9,""
"ML6AFL","ML2012DHS","MLI",2012,TRUE,10,""
"ML7AFL","ML2018DHS","MLI",2018,TRUE,9,""
"ML8AFL","ML2023DHS","MLI",2023,TRUE,9,""
"MZ41FL","MZ2003DHS","MOZ",2003,TRUE,11,""
"MZ62FL","MZ2011DHS","MOZ",2011,TRUE,11,""
"MZ81FL","MZ2022DHS","MOZ",2022,TRUE,11,""
"MR71FL","MR2020DHS","MRT",2020,TRUE,13,""
"MW41FL","MW2000DHS","MWI",2000,TRUE,3,""
"MW4EFL","MW2004DHS","MWI",2004,TRUE,3,""
"MW61FL","MW2010DHS","MWI",2010,TRUE,3,""
"MW7AFL","MW2015DHS","MWI",2015,TRUE,3,""
"MW81FL","MW2024DHS","MWI",2024,TRUE,3,""
"NM41FL","NM2000DHS","NAM",2000,TRUE,11,""
"NM51FL","NM2006DHS","NAM",2006,TRUE,11,""
"NM61FL","NM2013DHS","NAM",2013,TRUE,11,""
"NI51FL","NI2006DHS","NER",2006,TRUE,8,""
"NI61FL","NI2012DHS","NER",2012,TRUE,8,""
"NG4BFL","NG2003DHS","NGA",2003,TRUE,6,""
"NG53FL","NG2008DHS","NGA",2008,TRUE,6,""
"NG61FL","NG2010MIS","NGA",2010,TRUE,6,""
"NG6AFL","NG2013DHS","NGA",2013,TRUE,6,""
"NG7BFL","NG2018DHS","NGA",2018,TRUE,6,""
"NG8BFL","NG2024DHS","NGA",2024,TRUE,6,""
"RW41FL","RW2000DHS","RWA",2000,TRUE,12,""
"RW53FL","RW2005DHS","RWA",2005,TRUE,5,""
"RW5AFL","RW2008DHS","RWA",2008,TRUE,5,""
"RW61FL","RW2010DHS","RWA",2010,TRUE,5,""
"RW70FL","RW2015DHS","RWA",2015,TRUE,5,""
"RW81FL","RW2019DHS","RWA",2019,TRUE,5,""
"SN4AFL","SN2005DHS","SEN",2005,TRUE,11,""
"SN5AFL","SN2008MIS","SEN",2008,TRUE,11,""
"SN61FL","SN2010DHS","SEN",2010,TRUE,14,""
"SN6DFL","SN2012DHS","SEN",2012,TRUE,4,""
"SN71FL","SN2014DHS","SEN",2014,TRUE,4,""
"SN7AFL","SN2015DHS","SEN",2015,TRUE,4,""
"SN7IFL","SN2016DHS","SEN",2016,TRUE,4,""
"SN7ZFL","SN2017DHS","SEN",2017,TRUE,14,""
"SN81FL","SN2018DHS","SEN",2018,TRUE,4,""
"SN8BFL","SN2019DHS","SEN",2019,TRUE,4,""
"SN8SFL","SN2023DHS","SEN",2023,TRUE,14,""
"SL51FL","SL2008DHS","SLE",2008,TRUE,4,""
"SL61FL","SL2013DHS","SLE",2013,TRUE,4,""
"SL7AFL","SL2019DHS","SLE",2019,TRUE,5,""
"ST51FL","ST2008DHS","STP",2008,TRUE,4,""
"SZ51FL","SZ2006DHS","SWZ",2006,TRUE,3,""
"TD41FL","TD2004DHS","TCD",2004,TRUE,8,""
"TD71FL","TD2014DHS","TCD",2014,TRUE,21,""
"TG61FL","TG2013DHS","TGO",2013,TRUE,6,""
"TZ4IFL","TZ2004DHS","TZA",2004,TRUE,8,""
"TZ63FL","TZ2010DHS","TZA",2010,TRUE,8,""
"TZ7BFL","TZ2015DHS","TZA",2015,TRUE,9,""
"TZ82FL","TZ2022DHS","TZA",2022,TRUE,9,""
"UG41FL","UG2000DHS","UGA",2000,TRUE,4,""
"UG52FL","UG2006DHS","UGA",2006,TRUE,9,""
"UG5AFL","UG2009MIS","UGA",2009,TRUE,10,""
"UG61FL","UG2011DHS","UGA",2011,TRUE,10,""
"UG7BFL","UG2016DHS","UGA",2016,TRUE,15,""
"ZA71FL","ZA2016DHS","ZAF",2016,TRUE,6,""
"ZM42FL","ZM2002DHS","ZMB",2002,TRUE,9,""
"ZM51FL","ZM2007DHS","ZMB",2007,TRUE,9,""
"ZM61FL","ZM2013DHS","ZMB",2013,TRUE,10,""
"ZM71FL","ZM2018DHS","ZMB",2018,TRUE,10,""
"ZM81FL","ZM2024DHS","ZMB",2024,TRUE,10,""
