"iso3","pfpr_pct","u5mr_year","m_1mo_5y","births","region","country","allcause_postneonatal_2024","af_spline_no_time_interaction_2025","deaths_spline_no_time_interaction_2025","af_spline_ti_interaction_2025","deaths_spline_ti_interaction_2025","af_full_te_surface_2025","deaths_full_te_surface_2025","ihme_u5_2025","ihme_u5_lo_2025","ihme_u5_hi_2025","who_region","who_all_age_2024","who_all_age_lo_2024","who_all_age_hi_2024","who_u5_proxy_2024","who_u5_proxy_lo_2024","who_u5_proxy_hi_2024","best_model","best_model_deaths","ratio_vs_ihme","ratio_vs_who_u5_proxy","absolute_difference_vs_ihme","absolute_difference_vs_who_u5_proxy","very_different_vs_ihme","very_different_vs_who"
"CAF",33.7173529884399,2024,59.8,246240.56317,"Sub-Saharan Africa","Central African Republic",14725.185677566,0.358903840293278,5284.92568871001,0.428480969999557,6309.46184254706,0.391416485765514,5763.68043015757,4319.77192218517,3505.81700943583,5282.49228767641,"AFR",5062,3920,6580,3796.5,2940,4935,"spline_no_interaction",5284.92568871001,1.22342701973872,1.39205207130515,965.153766524847,1488.42568871001,FALSE,FALSE
"SOM",3.0050584106644,2024,66.9,804961.508246,"Sub-Saharan Africa","Somalia",53851.9249016574,0.0331429954152478,1784.8141001179,0.0424616514222702,2286.64166359245,0.0336859270586896,1814.05201420726,1275.3617721339,851.023885536486,1858.2525595698,"EMR",2592,930,5370,1944,697.5,4027.5,"spline_no_interaction",1784.8141001179,1.39945711022183,0.918114249031841,509.452327983997,-159.185899882101,FALSE,FALSE
"TGO",20.988802052246,2024,33.5,269522.656038,"Sub-Saharan Africa","Togo",9029.008977273,0.271554525867505,2451.86825187682,0.330053505251293,2980.05606189435,0.307280710791715,2774.44029628122,1971.63171351714,1551.71179630058,2364.35609016244,"AFR",3486,2900,4290,2614.5,2175,3217.5,"spline_no_interaction",2451.86825187682,1.24357314556632,0.937796233267094,480.23653835968,-162.631748123182,FALSE,FALSE
"GIN",21.3918844138873,2024,62.3,491703.210125,"Sub-Saharan Africa","Guinea",30633.1099907875,0.275396117877184,8436.23956996766,0.334433259336397,10244.7308178294,0.311894412619701,9554.29584729137,7978.83064374528,6802.32567358553,9014.98888967093,"AFR",10245,8480,12600,7683.75,6360,9450,"spline_no_interaction",8436.23956996766,1.0573278148949,1.09793259410674,457.408926222378,752.48956996766,FALSE,FALSE
"BEN",36.4195176021028,2024,47.5,483329.773356,"Sub-Saharan Africa","Benin",22958.16423441,0.369658440056338,8486.67917744921,0.441051266861985,10125.727420412,0.400057064016775,9184.575778833,8123.38963423525,6396.09877254168,9862.69374517238,"AFR",9946,7860,12700,7459.5,5895,9525,"spline_no_interaction",8486.67917744921,1.04472142289998,1.13770080802322,363.289543213963,1027.17917744921,FALSE,FALSE
"ZWE",3.38456270889392,2024,31,497218.043343,"Sub-Saharan Africa","Zimbabwe",15413.759343633,0.0392904747398627,605.613922137335,0.05028163608509,775.02903801971,0.0399481107491343,615.750565319954,302.167062423287,247.554521451937,370.554186123868,"AFR",381,140,730,285.75,105,547.5,"spline_no_interaction",605.613922137335,2.00423539640786,2.11938380450511,303.446859714048,319.863922137335,FALSE,FALSE
"COG",23.0367083039643,2024,22.6,192674.005464,"Sub-Saharan Africa","Congo - Brazzaville",4354.4325234864,0.29030149091595,1264.098253661,0.35133689298901,1529.87279353201,0.329029302802619,1432.73589730378,1414.0779827042,1245.1520229257,1657.779145653,"AFR",2283,2010,2850,1712.25,1507.5,2137.5,"spline_no_interaction",1264.098253661,0.893938148477226,0.738267340435685,-149.979729043197,-448.151746338998,FALSE,FALSE
"MDG",9.5834111098206,2024,39.3,1013736.614584,"Sub-Saharan Africa","Madagascar",39839.8489531512,0.133813074156045,5331.09266233366,0.167777761851563,6684.24068986405,0.138849487107429,5531.74259358248,5465.88913243118,4780.47048806943,6258.79141684158,"AFR",20903,8080,38900,15677.25,6060,29175,"spline_no_interaction",5331.09266233366,0.975338601491618,0.340052793846731,-134.796470097521,-10346.1573376663,FALSE,TRUE
"MRT",2.77560525533352,2024,16.1,175914.51185,"Sub-Saharan Africa","Mauritania",2832.223640785,0.0294068235059016,83.2867007338066,0.0376997702775163,106.774180632145,0.0298833062750169,84.6362064969216,197.43027665485,161.64274597756,233.746218274638,"AFR",920,300,1990,690,225,1492.5,"spline_no_interaction",83.2867007338066,0.421853740697581,0.120705363382328,-114.143575921043,-606.713299266193,FALSE,FALSE
"GNB",6.45858719241253,2024,35.3,65071.96512,"Sub-Saharan Africa","Guinea-Bissau",2297.040368736,0.0875952510529544,201.209827778201,0.110992796843576,254.954934988608,0.0895946095303108,205.802434912263,283.390713628118,216.48154689236,373.438998475996,"AFR",897,770,1120,672.75,577.5,840,"spline_no_interaction",201.209827778201,0.710008543336533,0.299085585697809,-82.1808858499173,-471.540172221799,FALSE,FALSE
"SEN",6.77121703113813,2024,15.6,539961.901056,"Sub-Saharan Africa","Senegal",8423.4056564736,0.0923550838078279,777.944335350951,0.116899717661849,984.693742992987,0.0945572781175393,796.494311356028,838.607389622041,698.835446313217,1068.76131354483,"AFR",1742,770,2960,1306.5,577.5,2220,"spline_no_interaction",777.944335350951,0.927662151536214,0.595441511941026,-60.6630542710903,-528.555664649049,FALSE,FALSE
"ERI",1.01174970161902,2024,18.7,101538.982557,"Sub-Saharan Africa","Eritrea",1898.7789738159,0.000197495685991478,0.375000655979965,0.00025436700002357,0.482986711277383,0.000200601220059493,0.380897378770782,45.0068579933148,30.7508652850285,57.6569329413258,"AFR",786,320,1450,589.5,240,1087.5,"spline_no_interaction",0.375000655979965,0.00833207810320079,0.000636133428295107,-44.6318573373348,-589.12499934402,FALSE,FALSE
"GNQ",22.7908740948625,2024,41.7,56764.124904,"Sub-Saharan Africa","Equatorial Guinea",2367.0640084968,0.288152287281585,682.074908190269,0.34890859445502,825.888976189685,0.326644985171358,773.189587955092,724.113499098486,548.787558861234,864.048648612484,"AFR",769,650,980,576.75,487.5,735,"spline_no_interaction",682.074908190269,0.941944749047553,1.18261795958434,-42.0385909082171,105.324908190269,FALSE,FALSE
"GMB",7.44128485616308,2024,19.4,82404.961716,"Sub-Saharan Africa","Gambia",1598.6562572904,0.1024580130059,163.795143601423,0.129392171465266,206.85360455734,0.105158396933646,168.1121292646,146.548778346443,111.262537460758,191.056769398596,"AFR",643,600,700,482.25,450,525,"spline_no_interaction",163.795143601423,1.11768344608243,0.339647783517725,17.2463652549796,-318.454856398577,FALSE,FALSE
"GAB",18.3941089285982,2024,16.3,68874.150904,"Sub-Saharan Africa","Gabon",1122.6486597352,0.245055995087866,275.111784445469,0.299611719935154,336.358695826158,0.27417011907692,307.796716721144,262.056217142271,216.422381945495,317.028441300414,"AFR",439,380,550,329.25,285,412.5,"spline_no_interaction",275.111784445469,1.04981971977452,0.835571099302866,13.055567303198,-54.1382155545313,FALSE,FALSE
"NAM",0.94554297582227,2024,18.1,78453.121721,"Sub-Saharan Africa","Namibia",1420.0015031501,0,0,0,0,0,0,10.5391523504407,8.75625274982827,12.7066932029941,"AFR",32,NA,NA,24,NA,NA,"spline_no_interaction",0,0,0,-10.5391523504407,-24,FALSE,FALSE
"SWZ",2.08958935754062,2024,20.1,29390.254656,"Sub-Saharan Africa","Eswatini",590.7441185856,0.0181494812660383,10.7216993132917,0.0233118692295956,13.7713496406202,0.0184368312125354,10.8914496041607,0.52089542094377,0.427307049955207,0.627056330025302,"AFR",0,NA,NA,0,NA,NA,"spline_no_interaction",10.7216993132917,20.5832089939778,Inf,10.2008038923479,10.7216993132917,FALSE,FALSE
"COM",2.0569309592247,2024,16.9,24466.641696,"Sub-Saharan Africa","Comoros",413.4862446624,0.0176103079612542,7.28162010624736,0.02262131068393,9.35360080403965,0.0178889156521755,7.39682055410049,3.5718790015687,2.93219053677002,4.07382595833608,"AFR",139,64,210,104.25,48,157.5,"spline_no_interaction",7.28162010624736,2.0385965210606,0.0698476748800706,3.70974110467866,-96.9683798937526,FALSE,FALSE
"BWA",0.0783307803951344,2024,15.7,61417.467179,"Sub-Saharan Africa","Botswana",964.2542347103,0,0,0,0,0,0,0.664983923479673,0.511731812166918,0.799672024370059,"AFR",1,NA,NA,0.75,NA,NA,"spline_no_interaction",0,0,0,-0.664983923479673,-0.75,FALSE,FALSE
"ZAF",0.145783732552921,2024,22.7,1182852.81576,"Sub-Saharan Africa","South Africa",26850.758917752,0,0,0,0,0,0,NA,NA,NA,"AFR",10,NA,NA,7.5,NA,NA,"spline_no_interaction",0,NA,0,NA,-7.5,FALSE,FALSE
