"region","year","prevalence","af","lo","hi"
"West",2013,36.4729863258635,0.395979341816181,0.215211470302136,0.567361246587157
"West",2013,38.6366485214654,0.404798842498355,0.225856668376854,0.57201835525732
"West",2013,40.8003107170673,0.414083313544721,0.236397537288897,0.578935627956577
"West",2013,42.9639729126693,0.424026683823109,0.242772509013455,0.586330099856802
"West",2013,45.1276351082712,0.434572282820158,0.256086582917913,0.593281366942433
"West",2013,47.2912973038731,0.445645982457102,0.270556613023499,0.60267106579121
"West",2013,49.4549594994751,0.457170275225304,0.285089466052569,0.61099608149406
"West",2013,51.618621695077,0.469066071042001,0.298585627120632,0.620711597855486
"West",2013,53.7822838906789,0.481254343873479,0.31124230148841,0.630291285887533
"West",2013,55.9459460862808,0.493657595399039,0.324341579416506,0.640535206468124
"West",2013,58.1096082818828,0.506201113906703,0.340685393009135,0.651809487699834
"West",2013,60.2732704774847,0.518814017098408,0.353900441771288,0.662900985376212
"West",2013,62.4369326730866,0.531430076994554,0.365779086427888,0.672865172096836
"West",2013,64.6005948686886,0.543988333283468,0.379253011492563,0.684882590689179
"West",2013,66.7642570642905,0.556433508038318,0.391328298837072,0.697440388109693
"West",2013,68.9279192598924,0.568716239643549,0.404040133946046,0.710017410219877
"West",2013,71.0915814554943,0.58079315707625,0.412912813443436,0.722106670837061
"West",2013,73.2552436510963,0.592626817507163,0.421506670729588,0.737093447637583
"West",2013,75.4189058466982,0.604185530715876,0.431938572139293,0.751127605532639
"West",2022,2.00989954181167,0.0267881880428514,0.00499144742976749,0.06155276700136
"West",2022,3.34156173892229,0.0606382606749102,0.0122955041989882,0.135232917142668
"West",2022,4.67322393603292,0.0928240934111988,0.0216455713487637,0.200642321948472
"West",2022,6.00488613314354,0.123393564717487,0.0325774283805957,0.259147103282054
"West",2022,7.33654833025416,0.152356206512246,0.0439345941044258,0.309921534503917
"West",2022,8.66821052736478,0.179688658600145,0.0561792820327389,0.352625367645217
"West",2022,9.9998727244754,0.205372396575228,0.0694156061288878,0.387782499040723
"West",2022,11.331534921586,0.229406746934513,0.082777429266678,0.421564026949279
"West",2022,12.6631971186966,0.251793134926265,0.0939999621537893,0.451080799950355
"West",2022,13.9948593158073,0.27259210246357,0.108903772203403,0.475869540106888
"West",2022,15.3265215129179,0.291989501744988,0.120357656701146,0.496398762340876
"West",2022,16.6581837100285,0.310161904986784,0.132115851226382,0.511393440467109
"West",2022,17.9898459071391,0.327268328368189,0.143823757316965,0.526078408422644
"West",2022,19.3215081042497,0.343452560309984,0.155884568653975,0.541514119704999
"West",2022,20.6531703013604,0.358846062949557,0.168213586915145,0.554855918138326
"West",2022,21.984832498471,0.373576024387705,0.179034705674281,0.567627826575954
"West",2022,23.3164946955816,0.387762137868066,0.189569527984817,0.578783294794437
"West",2022,24.6481568926922,0.401485961323701,0.201951122759,0.588752698247808
"West",2022,25.9798190898029,0.414778637277288,0.212882434355088,0.599366092779338
"West",2022,27.3114812869135,0.427662779057088,0.222737049740038,0.609453800049688
"West",2022,28.6431434840241,0.440156941879999,0.233920755698161,0.618130767670794
"West",2022,29.9748056811347,0.452278663429581,0.247581310833819,0.627544372160079
"West",2022,31.3064678782453,0.46404620345828,0.258225887103485,0.636788251044189
"West",2022,32.638130075356,0.475476748106846,0.26915101035958,0.644793072943301
"West",2022,33.9697922724666,0.486589077526009,0.280811457931295,0.653975117396087
"West",2022,35.3014544695772,0.497402828004025,0.285845756631149,0.661637628117496
"West",2022,36.6331166666878,0.507939092325617,0.293817662031234,0.671282111808338
"West",2022,37.9647788637984,0.518219889650607,0.303723919405594,0.682251791285762
"West",2022,39.2964410609091,0.52826776255182,0.312786394587854,0.692149077673775
"West",2022,40.6281032580197,0.53810448776816,0.32178640902583,0.702202689843481
"West",2022,41.9597654551303,0.547741543725827,0.329729865302678,0.711268882930092
"West",2022,43.2914276522409,0.557182283191172,0.337736207959307,0.720080179505195
"West",2022,44.6230898493515,0.566428533977022,0.346497090207294,0.729638676029458
"West",2022,45.9547520464622,0.575480996656942,0.353305047999616,0.738668975403998
"West",2022,47.2864142435728,0.584339483115956,0.360812162905571,0.747891419286629
