"iso3","year","pfpr_pct","share_pn","malaria_deaths","allcause_pn","hib3_wuenic","pcv3_wuenic","rotac_wuenic","log_hiv_prev","log_gdp","log_hexp_pc","hiv_imputed"
"GNQ",2019,23.7299292965598,41.8193435591176,617.083334860895,1475.59306852476,62,0,0,-0.991494751160489,8.82528788607048,5.40780511852168,TRUE
"GNQ",2020,23.8497313879305,47.1338612911265,696.471803207254,1477.64639715264,64,0,0,-0.991494751160489,8.65939650411226,5.36407313171528,TRUE
"GNQ",2021,23.5165053369731,51.5565079110169,738.274314810892,1431.97114142235,67,0,0,-0.991494751160489,8.84586806430425,5.49639917436244,TRUE
"GNQ",2022,23.438213429366,47.2536470582477,667.543821786323,1412.6821173474,70,0,0,-0.991494751160489,8.93449459328561,5.37216437392484,TRUE
"GNQ",2023,22.6647628290662,44.1056537727492,619.04520709968,1403.55068828423,74,0,0,-0.991494751160489,8.8229635867578,5.45396888573796,TRUE
"GNQ",2024,22.8478980883679,45.8504177671496,718.459783286752,1566.96453004078,68,0,0,-0.991494751160489,8.85417680538306,5.45396888573796,TRUE
"KEN",2000,21.5494652336711,10.3680666660017,7330.12120053894,70699.0168627621,0,0,0,0.610536530271619,6.02737778970882,3.06963354252465,FALSE
"KEN",2001,27.7138102444012,11.8024311946074,8095.66278417467,68593.1792415248,0,0,0,0.625639529986259,6.01786412267803,3.09625049475466,FALSE
"KEN",2002,24.7950847667247,11.388523914522,7589.94134521377,66645.5231791322,84,0,0,0.63888771461197,5.9987786973909,3.10403592727891,FALSE
"KEN",2003,22.7554495207966,12.2579345751457,7807.08973195459,63690.0913779091,73,0,0,0.650625753651891,6.09334052763883,3.24415844366336,FALSE
"KEN",2004,17.4789903874748,11.3276098487532,6688.62660818078,59047.1131817535,73,0,0,0.62671642066347,6.13915752356556,3.31962674894431,FALSE
"KEN",2005,11.9528216450562,10.0592459391667,5380.61737522306,53489.2715394607,76,0,0,0.566949866662745,6.26045357397981,3.43380469750918,FALSE
"KEN",2006,8.31142980436028,8.96058265595229,4461.27662254845,49787.7961048095,80,0,0,0.504943758370491,6.55079796751546,3.69645102479083,FALSE
"KEN",2007,6.17426520304213,8.06040223885993,3783.25150555504,46936.2619065788,81,0,0,0.440477329399451,6.73364167198871,3.90088222778429,FALSE
"KEN",2008,5.2858614392606,7.52933278528665,3378.30747930039,44868.6168567561,88,0,0,0.373715658543864,6.81951881158765,3.99557007303816,FALSE
"KEN",2009,5.19992997456301,6.47534854241193,2805.96538024425,43333.0400960794,88,0,0,0.262841856757404,6.95460817018138,4.01558298910068,FALSE
"KEN",2010,5.41821733640657,4.16660837315077,1727.10251369254,41451.0402470706,90,0,0,0.145977614944793,6.9953253366416,4.07442193642639,FALSE
"KEN",2011,5.65283058651606,2.59251809424959,1028.28099212229,39663.4065699714,96,85,0,0.0741729973447411,6.9995547562727,4.0434523998265,FALSE
"KEN",2012,5.86508341477937,2.63717136919814,999.901348834157,37915.6758833685,94,82,0,-0.0512717385996708,7.15851816986156,4.16639100108984,FALSE
"KEN",2013,6.02407309612726,4.9805216837236,1800.42936305567,36149.4132018236,87,77,0,-0.125434939923898,7.22320731106755,4.2135798576534,FALSE
"KEN",2014,5.90437235666468,6.50094517311401,2239.4829912319,34448.5752701583,92,84,19,-0.20017175851381,7.301698034031,4.28834616674246,FALSE
"KEN",2015,5.58139368676173,6.71160633800094,2218.91481903351,33060.8606537315,89,80,66,-0.345446136182135,7.30594035032672,4.26194094973557,FALSE
"KEN",2016,5.15022877034593,6.80296146597544,2137.33123924863,31417.6590583137,88,83,74,-0.430249824024124,7.34866867508978,4.30254610296024,FALSE
"KEN",2017,5.12053749155639,7.06861710728693,2113.87037316894,29905.0060441071,81,78,67,-0.519675150937242,7.41907146578741,4.19668335863129,FALSE
"KEN",2018,4.87529788449648,7.53110701158549,2129.42153304886,28275.0136171622,91,89,84,-0.613230608870325,7.51559113952176,4.32117221648753,FALSE
