"iso3","state","key","age_band","year","series","exposure_source","pfpr_pct","ihme_deaths","implied_person_years","age_mapping","ihme_rate_per100000","log_hr_zero_vs_current","log_hr_se","hr_zero_vs_current","hr_lower_95","hr_upper_95","attributable_fraction","af_lower_95","af_upper_95","counterfactual_deaths","attributable_deaths","attributable_deaths_lower_95","attributable_deaths_upper_95","zero_below_observed_support","current_pfpr_outside_central95","current_pfpr_outside_observed_support","negative_attributable_estimate"
"NGA","Bayelsa","bayelsa","36-47",2024,"map_full","MAP",26.0784711110067,117.009673397157,18833.7548952923,"IHME 2-4 rate shared; deaths and person-time divided equally",621.276394684336,-0.803385505394261,0.0797903317095581,0.447810330606879,0.382979216784151,0.52361612173661,0.552189669393121,0.47638387826339,0.617020783215849,52.3981405281837,64.6115328689731,55.7415220072701,72.1974003233443,TRUE,FALSE,FALSE,FALSE
"NGA","Bayelsa","bayelsa","48-59",2024,"map_full","MAP",26.0784711110067,117.009673397157,18833.7548952923,"IHME 2-4 rate shared; deaths and person-time divided equally",621.276394684336,-0.748097204098864,0.0911132933530436,0.473266225556829,0.395866098871481,0.565799700684961,0.526733774443171,0.434200299315039,0.604133901128519,55.3767264823097,61.6329469148471,50.8056352118005,70.6895104591982,TRUE,FALSE,FALSE,FALSE
"NGA","Benue","benue","<1",2024,"map_full","MAP",29.6189343353326,10023.5037955967,24917.0729841917,"0-27 days mapped to model <1 completed month",40227.452887247,-0.0529680342790773,0.0293846728058409,0.948410328617642,0.895330824244454,1.00463664052634,0.0515896713823581,-0.00463664052633606,0.104669175755546,9506.39452868203,517.109266914652,-46.4753839145468,1049.15188046769,TRUE,FALSE,FALSE,FALSE
"NGA","Benue","benue","1-5",2024,"map_full","MAP",29.6189343353326,4075.84508748986,134393.808100046,"direct age match",3032.7625543996,-0.147799540164861,0.0412704219378822,0.862604015070352,0.795575467924303,0.935279828017888,0.137395984929648,0.0647201719821121,0.204424532075697,3515.84033727353,560.004750216336,263.789395034791,833.202724823144,TRUE,FALSE,FALSE,FALSE
"NGA","Benue","benue","6-11",2024,"map_full","MAP",29.6189343353326,3169.55507822286,158880.797935873,"direct age match",1994.92646021463,-0.392803201444819,0.0528329941633881,0.675161605341042,0.608744968446538,0.748824576718825,0.324838394658958,0.251175423281175,0.391255031553462,2139.9618948298,1029.59318339306,796.114338385626,1240.10437214052,TRUE,FALSE,FALSE,FALSE
"NGA","Benue","benue","12-23",2024,"map_full","MAP",29.6189343353326,2455.94177704008,317220.653054462,"IHME 1 to 4 minus 2 to 4",774.206141180358,-0.737848083157967,0.066858788325621,0.478141730480944,0.419416294945218,0.545089728707782,0.521858269519056,0.454910271292218,0.580583705054782,1174.28825123439,1281.65352580569,1117.2331400712,1425.87977631275,TRUE,FALSE,FALSE,FALSE
"NGA","Benue","benue","24-35",2024,"map_full","MAP",29.6189343353326,1338.77279326411,315653.274952672,"IHME 2-4 rate shared; deaths and person-time divided equally",424.127642415509,-0.943050636390442,0.0753510129963622,0.389437987687923,0.335968248544614,0.451417498264808,0.610562012312077,0.548582501735192,0.664031751455386,521.368982580115,817.403810683997,734.427328183837,888.987642711988,TRUE,FALSE,FALSE,FALSE
"NGA","Benue","benue","36-47",2024,"map_full","MAP",29.6189343353326,1338.77279326411,315653.274952672,"IHME 2-4 rate shared; deaths and person-time divided equally",424.127642415509,-0.844958864046027,0.0794306867025812,0.429575028825902,0.367642967053954,0.501939985060812,0.570424971174099,0.498060014939188,0.632357032946046,575.103361257764,763.669432006349,666.789197413302,846.582391337384,TRUE,FALSE,FALSE,FALSE
"NGA","Benue","benue","48-59",2024,"map_full","MAP",29.6189343353326,1338.77279326411,315653.274952672,"IHME 2-4 rate shared; deaths and person-time divided equally",424.127642415509,-0.758184712338933,0.0902425846853833,0.468516147114228,0.392562241083625,0.559165801328306,0.531483852885772,0.440834198671694,0.607437758916375,627.236670961454,711.536122302658,590.176831522051,813.221145238568,TRUE,FALSE,FALSE,FALSE
"NGA","Borno","borno","<1",2024,"map_full","MAP",18.9105232538524,4461.33425366702,14435.1519212145,"0-27 days mapped to model <1 completed month",30906.0429569185,-0.0297861683186429,0.0245000325471463,0.970653067736514,0.925143672313301,1.01840114795406,0.0293469322634863,-0.0184011479540649,0.0748563276866988,4330.40777951988,130.926474147137,-82.0936716742644,333.959098812392,TRUE,FALSE,FALSE,FALSE
