"group","records","observed_deaths","fitted_deaths","age_band","grouping","observed_probability","fitted_probability","residual_deaths"
"GH4BFL",2910,114,102.375191596703,"<1","survey",0.0391752577319588,0.0351804782119255,11.6248084032969
"GH5AFL",2999,93,89.1423256969184,"<1","survey",0.0310103367789263,0.0297240165711632,3.85767430308162
"GH72FL",5927,169,158.100251579481,"<1","survey",0.0285135819132782,0.0266745826859256,10.8997484205192
"GH8CFL",9355,163,184.190066412788,"<1","survey",0.0174238375200428,0.019688943496824,-21.1900664127883
"GN52FL",6432,262,259.70177483096,"<1","survey",0.0407338308457711,0.0403765197187438,2.29822516903994
"GN62FL",7092,239,239.936145175887,"<1","survey",0.0336999435984208,0.0338319437642255,-0.936145175886992
"GN71FL",7990,268,255.896351381716,"<1","survey",0.0335419274092616,0.0320270777699269,12.103648618284
"GM61FL",8097,173,203.897165227626,"<1","survey",0.021365938001729,0.0251818161328425,-30.8971652276257
"GM81FL",8369,286,246.758821704983,"<1","survey",0.034173736408173,0.0294848633892918,39.2411782950173
"KE42FL",4187,141,136.901390158479,"<1","survey",0.0336756627657034,0.0326967733839215,4.09860984152076
"KE52FL",6083,176,176.221784257176,"<1","survey",0.0289330922242315,0.0289695519081334,-0.221784257175528
"KE72FL",21136,449,469.625615034162,"<1","survey",0.0212433762301287,0.0222192285689895,-20.6256150341624
"KE8CFL",19554,442,429.621649902006,"<1","survey",0.0226040707783574,0.0219710366115376,12.3783500979945
"LB51FL",5816,181,197.920610901842,"<1","survey",0.031121045392022,0.0340303663861489,-16.920610901842
"LB5AFL",4222,165,162.883162998449,"<1","survey",0.0390810042633823,0.0385796217428822,2.11683700155118
"LB6AFL",7644,215,228.084787402371,"<1","survey",0.0281266352694924,0.0298384075617963,-13.0847874023706
"LB7AFL",5707,226,190.54932466734,"<1","survey",0.0396004906255476,0.0333887024123603,35.4506753326596
"MD42FL",4439,113,125.285306606072,"<1","survey",0.0254561838251859,0.0282237681022914,-12.2853066060717
"MD51FL",12534,300,316.090559545041,"<1","survey",0.0239348970799426,0.0252186500355067,-16.0905595450412
"MD81FL",12497,314,301.447637959467,"<1","survey",0.0251260302472593,0.0241216002208103,12.5523620405334
"ML41FL",3301,186,164.001146804641,"<1","survey",0.0563465616479855,0.0496822619826236,21.9988531953594
"ML53FL",14302,647,627.242305744504,"<1","survey",0.0452384281918613,0.0438569644626279,19.7576942554957
"ML6AFL",10354,353,355.578983637538,"<1","survey",0.0340931041143519,0.0343421850142493,-2.57898363753753
"ML7AFL",9933,311,316.804703778417,"<1","survey",0.031309775495822,0.0318941612582721,-5.80470377841652
"ML8AFL",15605,423,442.622529156942,"<1","survey",0.0271066965716117,0.0283641479754529,-19.622529156942
"MZ41FL",8081,279,287.949452733352,"<1","survey",0.034525430021037,0.0356328984944131,-8.94945273335202
"MZ62FL",11146,348,336.755093699398,"<1","survey",0.0312219630360667,0.030213089332442,11.2449063006021
"MZ81FL",9297,227,227.605573783265,"<1","survey",0.0244164784339034,0.0244816149062348,-0.605573783264788
"MR71FL",11167,280,279.950328110867,"<1","survey",0.0250738783916898,0.0250694302955912,0.0496718891327532
"MW41FL",1811,76,69.1002360360541,"<1","survey",0.0419657647708448,0.0381558454091961,6.89976396394587
"MW4EFL",10712,324,334.949729443275,"<1","survey",0.0302464525765497,0.0312686453923893,-10.9497294432745
"MW61FL",20125,602,593.568358023173,"<1","survey",0.0299130434782609,0.0294940799017726,8.43164197682722
"MW7AFL",17297,457,461.307748404264,"<1","survey",0.0264207666069261,0.0266698125920255,-4.30774840426443
"MW81FL",11819,263,268.870731033202,"<1","survey",0.0222523056096116,0.0227490253856673,-5.87073103320165
"NM41FL",639,16,16.922831892539,"<1","survey",0.0250391236306729,0.0264833049961487,-0.922831892539008
"NM51FL",4714,101,106.305959495383,"<1","survey",0.0214255409418753,0.0225511157181551,-5.30595949538314
"NM61FL",4371,94,89.4446915400795,"<1","survey",0.021505376344086,0.02046321014415,4.55530845992054
"NI51FL",9211,271,273.725066997224,"<1","survey",0.0294213440451634,0.029717193246903,-2.72506699722368
"NI61FL",12629,299,312.987290060727,"<1","survey",0.0236756671153694,0.0247832203706332,-13.9872900607272
"NG4BFL",4280,198,198.448711173747,"<1","survey",0.0462616822429907,0.0463665213022773,-0.448711173746773
"NG53FL",28757,1127,1128.97158250782,"<1","survey",0.0391904579754495,0.0392590180654386,-1.97158250781877
"NG61FL",6030,236,243.390944913854,"<1","survey",0.0391376451077944,0.0403633407817337,-7.39094491385418
"NG6AFL",31866,1215,1202.25685003349,"<1","survey",0.0381284127282998,0.037728514718932,12.7431499665138
"NG7BFL",33934,1276,1273.04303466601,"<1","survey",0.0376024046678847,0.0375152659476044,2.95696533399359
"NG8BFL",27722,1054,1034.20503989061,"<1","survey",0.0380203448524637,0.0373062924713446,19.7949601093862
"RW41FL",1240,47,43.2445014234835,"<1","survey",0.0379032258064516,0.0348745979221641,3.75549857651647
"RW53FL",8707,325,307.80338392092,"<1","survey",0.0373262891926037,0.0353512557621362,17.1966160790799
"RW5AFL",5526,161,157.582524729773,"<1","survey",0.0291349981903728,0.0285165625642007,3.41747527022682
