survey,country,variable,national,n
MC_COM2022,COM,improved_water_pct,97.3350742764036,6156
MC_COM2022,COM,improved_sanitation_pct,75.3589229214307,6156
MC_COM2022,COM,electricity_pct,86.4315374176581,6157
MC_COM2022,COM,stunting_pct,18.1658914316204,4244
MC_COM2022,COM,wasting_pct,5.06138900422921,4257
MC_GHA2011,GHA,mean_maternal_age_first_birth,20.5260406406915,5416
MC_GHA2011,GHA,mean_maternal_education_years,5.27915221569763,5416
MC_GHA2011,GHA,mean_wealth_quintile,2.92792038716259,5416
MC_GHA2011,GHA,urban_pct,45.2018185900347,5416
MC_GHA2011,GHA,facility_delivery_pct,65.2218097637301,2873
MC_GHA2011,GHA,short_birth_interval_pct,12.6258185614652,6075
MC_GHA2011,GHA,improved_water_pct,86.3963533653134,11925
MC_GHA2011,GHA,improved_sanitation_pct,66.0132351005127,11923
MC_GHA2011,GHA,electricity_pct,66.0355275288366,11925
MC_GHA2011,GHA,dtp3_pct,93.676024394046,1431
MC_GHA2011,GHA,measles_pct,94.0793070747905,1440
MC_GHA2011,GHA,stunting_pct,22.7469383003369,7342
MC_GHA2011,GHA,wasting_pct,6.21547794114721,7381
MC_GHA2017,GHA,mean_maternal_age_first_birth,20.5060568765971,6307
MC_GHA2017,GHA,mean_maternal_education_years,6.00162938189375,6307
MC_GHA2017,GHA,mean_wealth_quintile,2.95428188602572,6307
MC_GHA2017,GHA,urban_pct,44.3448746661132,6307
MC_GHA2017,GHA,facility_delivery_pct,76.8600386495499,3466
MC_GHA2017,GHA,short_birth_interval_pct,15.3411843815439,6235
MC_GHA2017,GHA,improved_water_pct,88.3940099515981,12886
MC_GHA2017,GHA,improved_sanitation_pct,67.3935287498485,12402
MC_GHA2017,GHA,electricity_pct,81.6113154954298,12886
MC_GHA2017,GHA,dtp3_pct,94.0913032885164,1597
MC_GHA2017,GHA,measles_pct,90.6244373317056,1496
MC_GHA2017,GHA,stunting_pct,17.5262739791307,8677
MC_GHA2017,GHA,wasting_pct,6.81701095557999,8766
MC_GIN2016,GIN,mean_maternal_age_first_birth,18.7946257734966,5287
MC_GIN2016,GIN,mean_maternal_education_years,2.0724497167647,5218
MC_GIN2016,GIN,mean_wealth_quintile,2.88495370687556,5287
MC_GIN2016,GIN,urban_pct,34.1007248141332,5287
MC_GIN2016,GIN,facility_delivery_pct,55.8826476386914,3939
MC_GIN2016,GIN,short_birth_interval_pct,14.2609006479979,5712
MC_GIN2016,GIN,improved_water_pct,81.0780299338871,8080
MC_GIN2016,GIN,improved_sanitation_pct,51.1517707381115,8079
MC_GIN2016,GIN,electricity_pct,33.4606378051952,8081
MC_GIN2016,GIN,stunting_pct,32.4204390481342,7065
MC_GIN2016,GIN,wasting_pct,8.09119123229596,7039
MC_GMB2018,GMB,mean_maternal_age_first_birth,19.7682585680798,6907
MC_GMB2018,GMB,mean_maternal_education_years,4.24057910005358,6907
MC_GMB2018,GMB,mean_wealth_quintile,2.87616221497555,6907
