survey,iso3,year,round,subnational,n_files,has_bh,haz_var,whz_var,region_var,n_regions,region_labels,edu_var,wealth_var,urban_var,first_birth_var,delivery_var,water_var,toilet_var,electricity_var,dtp_vars,dtp3_var,measles_var,raw_anthro,bh_dob_source,bh_has_core,births,deaths,deaths_age_known,deaths_under5,births_last5y,deaths_last5y_under5,interview_year,alive_codes
NGA_2011_MICS4_v01_M,NGA,2011,4,FALSE,6,FALSE,HAP,WHP,HH7,37,Abia | Adamawa | Akwa ibom | Anambra | Bauchi | Bayelsa | Benue | Borno | Cross River | Delta | Ebonyi | Edo | Ekiti | Enugu | Gombe | Imo | Jigawa | Kaduna | Kano | Katsina | Kebbi | Kogi | Kwara | Lagos | Nasarawa | Niger | Ogun | Ondo | Osun | Oyo | Plateau | Rivers | Sokoto | Taraba | Yobe | Zamfara | FCT (Abuja),welevel,windex5,HH6,WDOBFC,MN18,WS1,WS8,HC8A,11,IM3D3D,IM3MD,TRUE,,,,,,,,,,
NGA_2016_MICS5_v01_M,NGA,2016,5,FALSE,8,TRUE,HAP,WHP,HH7,37,Abia | Adamawa | Akwa Ibom | Anambra | Bauchi | Bayelsa | Benue | Borno | Cross River | Delta | Ebonyi | Edo | Ekiti | Enugu | Gombe | Imo | Jigawa | Kaduna | Kano | Katsina | Kebbi | Kogi | Kwara | Lagos | Nasarawa | Niger | Ogun | Ondo | Osun | Oyo | Plateau | Rivers | Sokoto | Taraba | Yobe | Zamfara | FCT Abuja,welevel,windex5,HH6,WDOBFC,MN18,WS1,WS8,HC8A,11,IM3PENTA3D,IM3MD,TRUE,cmc,TRUE,101691,13865,13865,12645,29276,2671,2016,"1,2,9"
NGA_2021_MICS6_v01_M,NGA,2021,6,FALSE,8,TRUE,,,HH7,37,ABIA | ADAMAWA | AKWA IBOM | ANAMBRA | BAUCHI | BAYELSA | BENUE | BORNO | CROSS RIVER | DELTA | EBONYI | EDO | EKITI | ENUGU | GOMBE | IMO | JIGAWA | KADUNA | KANO | KATSINA | KEBBI | KOGI | KWARA | LAGOS | NASARAWA | NIGER | OGUN | ONDO | OSUN | OYO | PLATEAU | RIVERS | SOKOTO | TARABA | YOBE | ZAMFARA | FCT,welevel,windex5,HH6,WDOBFC,MN20,WS1,WS11,HC8,11,IM6PENTA3D,IM6N1D,FALSE,cmc,TRUE,105018,11742,11742,10427,27305,2149,2021,"1,2"
RWA_2000_MICS2_v01_M,RWA,2000,2,FALSE,4,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN_2000_MICS2_v01_M,SEN,2000,2,FALSE,4,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN(Dakar City)_2015_MICS5_v01_M,SEN,2015,5,TRUE,8,TRUE,HAZ,WHZ,HH7,4,Dakar | Guédiawaye | Pikine | Rufisque,welevel,windex5,,WDOBFC,MN18,WS1,WS8,HC8A,11,IM3D3D,IM3MD,FALSE,cmc,TRUE,16533,972,972,836,4460,159,2015,"1,2,9"
SLE_2000_MICS2_v01_M,SLE,2000,2,FALSE,4,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLE_2005_MICS3_v01_M,SLE,2005,3,FALSE,5,FALSE,HAP,WHP,HH7,4,East | North | South | West,WM11,wlthind5,HH6,,MN8,WS1,WS7,HC9A,11,IM4CD,IM6D,TRUE,,,,,,,,,,
SLE_2010_MICS4_v01_M,SLE,2010,4,FALSE,6,FALSE,HAP,WHP,HH7,4,East | North | South | West,welevel,windex5,HH6,WDOBFC,MN18,WS1,WS8,HC8A,26,IM3D3D,IM3MD,TRUE,,,,,,,,,,
SLE_2017_MICS6_v01_M,SLE,2017,6,FALSE,10,TRUE,HAP,WHP,HH7,4,EAST | NORTH | SOUTH | WEST,welevel,windex5,HH6,WDOBFC,MN20,WS1,WS11,HC8,11,IM6PENTA3D,IM6MD,TRUE,cmc,TRUE,42071,5319,5319,4650,11715,834,2017,"1,2"
SOM_2006_MICS3_v01_M,SOM,2006,3,FALSE,6,TRUE,haz,whz,HH7,3,North West | North East | Central South,WM11,wlthind5,HH6,,MN8,WS1,WS7,HC9A,11,IM4CD,IM6D,TRUE,cmc,TRUE,20377,3088,3063,2750,6676,643,2006,"1,2"
SOM(Northeast Zone)_2011_MICS4_v01_M,SOM,2011,4,TRUE,7,TRUE,,,HH7,3,Bari | Nugal | Mudug,welevel,windex5,HH6,WDOBFC,MN18,WS1,WS8,HC8A,24,IM3D3D,IM3MD,FALSE,cmc,TRUE,15265,723,723,673,4632,214,2011,"1,2"
SOM(Somaliland)_2011_MICS4_v01_M,SOM,2011,4,TRUE,7,TRUE,,,HH7,5,Maroodijeex/Saaxil | Awdal | Togdheer | Sool | Sanaag,welevel,windex5,HH6,WDOBFC,MN18,WS1,WS8,HC8A,24,IM3D3D,IM3MD,FALSE,cmc,TRUE,16700,1768,1768,1674,4706,372,2011,"1,2"
SSD_2010_MICS4_v01_M,SSD,2010,4,FALSE,5,TRUE,HAP,WHP,HH7,10,Upper Nile | Jonglei | Unity | Warap | Northern Bahr El Ghazal | Western Bahr El Ghazal | Lakes | Western Equatoria | Central Equatoria | Eastern Equatoria,welevel,windex5,HH6,WDOBFC,MN18,WS1,WS8,HC8A,15,IM3D3D,IM3M3D,TRUE,cmc,TRUE,28987,3599,3599,3145,9884,997,2010,"1,2"
"SSD(including current South Sudan, Republic of)_2000_MICS2_v01_M",SSD,2000,2,FALSE,8,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP_2000_MICS2_v01_M,STP,2000,2,FALSE,4,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
