"iso3","source_age","deaths","rate_per100000","implied_person_years","ihme_deaths_lower","ihme_deaths_upper","ihme_rate_lower","ihme_rate_upper"
"CAF","7 to 27 days (late neonatal)",1427.91290145188,10471.438536123,13636.2630265751,1335.12273365065,1543.98955052886,9790.97228506582,11322.6735764765
"CAF","1 to 5 months",5909.77350905939,5978.84571834592,98844.7233372392,5488.20793816984,6414.42272458194,5552.3529763396,6489.39316942308
"CAF","6-11 months",4597.78923346703,4053.19105525019,113436.281951511,4273.29253748788,4923.7317016665,3767.13029021395,4340.52634391806
"CAF","12 to 23 months",2243.13564726023,1026.20996477015,218584.473379446,2067.05989392918,2428.14810064154,945.65723812456,1110.85113370631
"CAF","2 to 4",6934.86642818843,1166.30637145601,594600.749675317,6436.8287426355,7505.20811899725,1082.54635503745,1262.22648106237
"CIV","0 to 6 days (early neonatal)",23209.8890976878,133899.889129543,17333.7627451156,22113.1031326327,24478.6729430518,127572.434547507,141219.614592623
"CIV","7 to 27 days (late neonatal)",4333.43143534707,8489.50680264777,51044.5604919655,3981.66353738175,4680.57366340695,7800.3679510738,9169.58363103876
"CIV","1 to 5 months",14287.7443456846,3856.55837828247,370479.14083561,13309.9906120637,15331.2137479647,3592.64237712363,4138.21240067266
"CIV","6-11 months",10617.9526447007,2500.31643411836,424664.354471786,9771.71999984914,11468.0687206553,2301.04549556639,2700.50184337222
"CIV","12 to 23 months",10406.0468161142,1261.93258467121,824611.943816745,9677.74132303197,11217.9204656625,1173.61158731685,1360.38782239073
"CIV","2 to 4",15045.2053958173,648.77584434823,2319014.42183501,13807.2997326035,16243.987029992,595.39516454055,700.4694268843
"CMR","0 to 6 days (early neonatal)",22655.585674722,117350.319865528,19305.9428390849,21341.6559464232,24018.9121241116,110544.4894575,124412.013048569
"CMR","7 to 27 days (late neonatal)",4934.42659692459,8641.48848769296,57101.5815614649,4573.67042543415,5379.77220754728,8009.70883881909,9421.40665886184
"CMR","1 to 5 months",12706.8388974087,3058.66229236977,415437.785632876,11664.5775631558,13919.7099342387,2807.7796403103,3350.61239387108
"CMR","6-11 months",12502.9482253325,2617.94257817257,477586.801543219,11494.7499720458,13442.6484559356,2406.83995765859,2814.7026702787
"CMR","12 to 23 months",12867.5253247858,1376.27647104815,934952.067805538,11951.0028331289,13752.2949876295,1278.24764976236,1470.90909375793
"CMR","2 to 4",21164.9049326322,802.03021453136,2638916.1591623,19288.3979000312,23060.8328987563,730.92120918893,873.87516343364
